Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.40523266792297363, 22.029180648496858)
(0.41275739669799805, 22.433930556849745)
(0.437807559967041, 22.304945981926235)
(0.4199488162994385, 22.08110793176455)
(0.43526744842529297, 22.126598831809293)
(0.4445323944091797, 20.918109832664822)
(0.41350769996643066, 22.786139016268763)
(0.3985753059387207, 22.575505970876964)
(0.40798282623291016, 22.31395065619711)
(0.4050595760345459, 21.958181602432013)
(0.42796969413757324, 22.30406955312745)
(0.4340074062347412, 22.67619368696899)
(0.4216492176055908, 22.310204441359765)
(0.42223286628723145, 22.167426063143775)
(0.410963773727417, 22.319887448094835)
(0.3960254192352295, 22.477203911312763)
(0.727715253829956, 22.422988410746672)
(0.7592802047729492, 22.538925903453162)
(0.5079429149627686, 20.286901399213907)
(0.4542551040649414, 22.283217691260827)
(0.4301581382751465, 22.2129925115075)
(0.4113612174987793, 22.265384723354654)
(0.3945598602294922, 22.446066895542813)
(0.4067823886871338, 22.309204637351414)
(0.8033483028411865, 20.376388277395005)
(0.7747585773468018, 22.427522399249522)
(0.4759488105773926, 22.584575232623845)
(0.43599367141723633, 22.38156204829853)
(0.4551718235015869, 22.2866028193104)
(0.4508020877838135, 22.689136432264053)
(0.6171844005584717, 22.660605917914637)
(0.49782443046569824, 22.3358069260359)
(0.5195386409759521, 22.072725892406254)
(0.4950544834136963, 22.728040268930656)
(0.5664088726043701, 22.587003688199363)
(0.494462251663208, 22.267948360978604)
(0.4462850093841553, 22.15810858145403)
(0.44082093238830566, 21.944049287722123)
(0.4401509761810303, 22.643209639353515)
(0.43343639373779297, 22.589083449836245)
(0.4391441345214844, 22.132538065572472)
(0.4486558437347412, 22.280768318407475)
(0.5595986843109131, 22.52865927742136)
(0.4517655372619629, 22.46612740660516)
(0.43773531913757324, 22.375153978163667)
(0.5120174884796143, 22.354886785532866)
(0.4690701961517334, 22.120233307471302)
(0.4552125930786133, 22.721240640314935)
(0.44397497177124023, 22.385210269662174)
(0.44327640533447266, 22.545368689892715)

Promedio de tiempos:
0.4758643198013306 segundos
475.86431980133057 milisegundos

Desviación estándar:
0.09691890538264201 segundos
96.91890538264201 milisegundos

Promedio valor función objetivo:
22.263817485334833
Desviación estándar valor función objetivo:
0.09691890538264201
