Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.636981725692749, 22.555756874554323)
(0.6023719310760498, 22.236680791624995)
(0.5504047870635986, 22.26221051135807)
(0.5507481098175049, 22.292607659726546)
(0.5943772792816162, 22.33979293599486)
(0.6724421977996826, 22.13483947475933)
(0.5959434509277344, 22.462823883320187)
(0.5547909736633301, 22.06902913641906)
(0.5565462112426758, 22.571764763158733)
(0.6420865058898926, 22.159821619273988)
(0.5589120388031006, 22.505448653748747)
(0.5683038234710693, 20.757736999933954)
(0.5814030170440674, 22.44961222317834)
(0.6694507598876953, 22.425153058181003)
(0.6242008209228516, 22.51269161649271)
(0.6313498020172119, 22.41277053896656)
(0.667567253112793, 20.77003904690233)
(0.6808607578277588, 22.07024027132788)
(0.7095832824707031, 22.219934922511577)
(0.6557533740997314, 22.242233850385283)
(0.7597379684448242, 22.414423974306008)
(0.7012631893157959, 22.373080018750475)
(0.6551425457000732, 22.42678826218852)
(0.5660457611083984, 22.5208555743844)
(0.6245059967041016, 22.39440070221506)
(0.6580631732940674, 22.283573687811955)
(0.5993742942810059, 22.514284021232513)
(0.579683780670166, 22.407249714931904)
(0.6009848117828369, 22.36858214499764)
(0.6499440670013428, 22.467617668946808)
(0.5791339874267578, 20.98556354868449)
(0.620823860168457, 21.950205811232884)
(0.5761406421661377, 22.043342250528536)
(0.6595363616943359, 22.32995031497263)
(0.6093993186950684, 22.24364936776448)
(0.556626558303833, 22.272664851208056)
(0.6170775890350342, 22.54177519053219)
(0.6118955612182617, 22.435637362070842)
(0.5989770889282227, 22.238214689900534)
(0.5914897918701172, 22.45351566822746)
(0.5989539623260498, 22.699812066376357)
(0.5725500583648682, 22.484181581660827)
(0.6142425537109375, 22.45656159070927)
(0.6822514533996582, 22.543270848205676)
(0.5901753902435303, 22.479280177653838)
(0.6612071990966797, 22.088269480399443)
(0.666466236114502, 22.340933806427124)
(0.6357591152191162, 22.065643804290133)
(0.6563839912414551, 22.198259594229242)
(0.6042633056640625, 22.473230251835393)

Promedio de tiempos:
0.6200435543060303 segundos
620.0435543060303 milisegundos

Desviación estándar:
0.04638643733352054 segundos
46.38643733352054 milisegundos

Promedio valor función objetivo:
22.258920137169866
Desviación estándar valor función objetivo:
0.04638643733352054
