Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.6982131004333496, 22.483819438504735)
(1.7198059558868408, 21.89678135666506)
(1.6444625854492188, 22.133918256019054)
(1.6271097660064697, 21.952957829675647)
(1.7105190753936768, 22.198778415456253)
(1.8772404193878174, 22.557304407622397)
(1.6406712532043457, 22.362641241628964)
(1.6600077152252197, 22.322669662283197)
(1.7526969909667969, 22.320247058541135)
(1.6827056407928467, 22.24991097136933)
(1.8053593635559082, 22.65257503227606)
(1.6527955532073975, 22.192311124773823)
(1.6936872005462646, 22.045296555786937)
(1.6473612785339355, 22.343081604333793)
(1.6733753681182861, 22.231432449102435)
(1.6621766090393066, 22.13075894149861)
(1.8758769035339355, 22.397563872759374)
(1.7531650066375732, 22.377352754255675)
(1.74271821975708, 22.281473743944634)
(1.7663376331329346, 22.102834388431393)
(1.794440507888794, 20.36022114500938)
(1.7159698009490967, 22.003556169054086)
(1.714275598526001, 22.692149489121817)
(1.650529384613037, 22.09648128257621)
(1.7343254089355469, 22.619467515561354)
(1.7473928928375244, 22.70400419013794)
(1.7408463954925537, 22.436752134406497)
(1.7325108051300049, 22.280436834957854)
(1.9878735542297363, 22.371747029712445)
(1.7468814849853516, 22.166999361981635)
(1.639033317565918, 22.179635067168103)
(1.6865859031677246, 22.497351792731653)
(1.6554608345031738, 21.983428522560345)
(1.782003402709961, 22.578249447704632)
(1.734391450881958, 22.64843320822166)
(1.8125975131988525, 21.96504187259198)
(1.7182698249816895, 22.728553417531128)
(1.6698634624481201, 22.946500522563515)
(1.7205233573913574, 22.186300718980725)
(1.927422046661377, 22.351374297483098)
(1.6518478393554688, 22.56909192227675)
(1.6706621646881104, 22.270232318562318)
(1.661705732345581, 22.34234764514948)
(1.7149837017059326, 22.497439249448036)
(1.6370000839233398, 22.680320929572243)
(1.82662034034729, 22.280508034399283)
(1.6592044830322266, 22.345199169867577)
(1.687256097793579, 22.58074449986124)
(1.6492657661437988, 22.415984651642194)
(1.8685803413391113, 21.968792742197138)

Promedio de tiempos:
1.7244921827316284 segundos
1724.4921827316284 milisegundos

Desviación estándar:
0.0796705060089153 segundos
79.6705060089153 milisegundos

Promedio valor función objetivo:
22.299621085759217
Desviación estándar valor función objetivo:
0.363782675455393
