Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.7398319244384766, 22.74952556851394)
(1.889235019683838, 21.94399123776253)
(1.8596718311309814, 21.865167099462226)
(1.8490138053894043, 22.485843634528983)
(1.7260925769805908, 22.247391941466997)
(1.671834945678711, 22.333926902731648)
(1.8211967945098877, 22.594128122824827)
(1.7236881256103516, 22.524340982631603)
(1.8102643489837646, 22.318259478739463)
(1.826474666595459, 22.03955187008113)
(1.839369773864746, 22.444688243134117)
(1.8308870792388916, 22.21240162812421)
(2.089632749557495, 22.0812874892018)
(2.0278356075286865, 20.76933158365854)
(1.8856792449951172, 22.283201702100595)
(1.8215878009796143, 22.09196531113661)
(1.8334839344024658, 22.16677486274269)
(1.6965062618255615, 22.434002478323187)
(2.338134765625, 21.792615408118163)
(1.7930302619934082, 22.075793128401372)
(2.199113130569458, 21.751428617511333)
(1.8028101921081543, 22.204937141568365)
(1.9563672542572021, 22.618524462376318)
(2.233891725540161, 22.337433162401343)
(1.7881770133972168, 21.929786313554793)
(1.6858325004577637, 22.10818490041333)
(1.9119040966033936, 22.587786682076846)
(2.0516700744628906, 21.06622099329469)
(1.8902440071105957, 22.19042351723949)
(2.134045124053955, 21.870080206475087)
(2.032727003097534, 22.522597001789027)
(2.1208503246307373, 22.114709772668565)
(1.8810055255889893, 22.16522022757035)
(1.8949623107910156, 22.127704406989118)
(1.7951359748840332, 22.28300782074829)
(1.9096205234527588, 22.293379641639905)
(1.874232530593872, 22.398329041799215)
(1.973635196685791, 22.38529048872502)
(2.0380566120147705, 22.76558304626414)
(2.3455493450164795, 22.057495674619812)
(2.0744502544403076, 22.419071599847342)
(2.274125576019287, 22.030075216088598)
(2.0854055881500244, 22.40892897044466)
(2.0686099529266357, 22.19511488956568)
(1.6579992771148682, 22.432403549479588)
(1.987414836883545, 22.400821836469714)
(2.03802752494812, 22.410330709461974)
(2.2273006439208984, 22.07612243011263)
(1.8558056354522705, 22.273988201271678)
(1.9184327125549316, 22.03428968163944)

Promedio de tiempos:
1.9356170797348022 segundos
1935.6170797348022 milisegundos

Desviación estándar:
0.17293621625341254 segundos
172.93621625341254 milisegundos

Promedio valor función objetivo:
22.198269177555822
Desviación estándar valor función objetivo:
0.17293621625341254
