Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 80 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.426391839981079, 22.566074199948225)
(3.4934022426605225, 20.752281205379163)
(3.3119866847991943, 20.530607669224036)
(3.3816237449645996, 22.830325860567115)
(3.5207910537719727, 22.053304496157136)
(3.36261248588562, 22.362244319028363)
(3.401508092880249, 22.456754817483638)
(3.462388753890991, 20.470983047579146)
(3.383425712585449, 20.4715704962179)
(3.3399384021759033, 22.075116383138315)
(3.516099214553833, 22.303019054572154)
(3.356204032897949, 22.381670988287475)
(3.3587827682495117, 22.080341322123342)
(3.550327777862549, 22.093948958038464)
(3.445317029953003, 22.29650250140806)
(3.4535765647888184, 22.40926710825506)
(3.4301655292510986, 22.411165586441413)
(3.355336904525757, 22.197262453466415)
(3.316424608230591, 22.078028726121826)
(3.379570722579956, 21.92550617839573)
(3.3569726943969727, 22.15965185884419)
(3.4025096893310547, 22.36466720950304)
(3.4638147354125977, 21.816699016610404)
(3.3411059379577637, 21.946060419792428)
(3.336728572845459, 22.15933527243915)
(3.7366209030151367, 22.422366435328943)
(3.3278071880340576, 22.49249989005442)
(3.3552510738372803, 22.165042330265948)
(3.440410852432251, 22.539415372861104)
(3.4117636680603027, 22.372497276347225)
(3.355663537979126, 22.042883959611146)
(3.528193235397339, 22.380861442293785)
(3.3341853618621826, 22.137331764240376)
(3.3878254890441895, 22.011614557475628)
(3.431683301925659, 22.232542848825165)
(3.329899549484253, 22.308216000504157)
(3.3953351974487305, 22.186644717128793)
(3.4334867000579834, 22.3500816192244)
(3.320995807647705, 22.289161266050257)
(3.4017646312713623, 22.291371116150426)
(3.426961898803711, 20.735808745990074)
(3.34749174118042, 22.10560431397035)
(3.4112484455108643, 22.443979654069736)
(3.3767621517181396, 22.58084771260942)
(3.3932383060455322, 22.448640673360476)
(3.5295825004577637, 22.203381832228967)
(3.3158817291259766, 22.063523684638575)
(3.3603248596191406, 22.43818785336699)
(3.4161150455474854, 22.51472399527066)
(3.3709325790405273, 22.506253445021365)

Promedio de tiempos:
3.4057286310195924 segundos
3405.7286310195923 milisegundos

Desviación estándar:
0.0770950833935822 segundos
77.0950833935822 milisegundos

Promedio valor función objetivo:
22.109117433118215
Desviación estándar valor función objetivo:
0.5426505485419376
