Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.0712621212005615, 22.639419625765637)
(1.9909718036651611, 22.40430994108872)
(1.992922067642212, 22.23951086076261)
(1.9818973541259766, 22.7434247357812)
(1.9630677700042725, 22.309720046272382)
(2.0114586353302, 22.61247043129668)
(1.9504258632659912, 22.655523820165467)
(1.94384765625, 22.51055402310218)
(1.9816257953643799, 22.476357725262105)
(1.9481456279754639, 22.234331215430487)
(1.9930250644683838, 22.435135149287973)
(1.977083444595337, 22.50290446111038)
(1.9401607513427734, 22.478984352502863)
(1.9948086738586426, 22.32783279281149)
(1.9302871227264404, 22.365204397886075)
(2.01200795173645, 22.389279295694003)
(1.926443338394165, 22.83151731678313)
(1.9987480640411377, 22.537087996493764)
(1.9801135063171387, 22.513047590947053)
(1.9680588245391846, 22.589237163078096)
(1.9832544326782227, 22.294896415301693)
(1.9722638130187988, 22.316137323455454)
(1.9337077140808105, 21.966653568495833)
(1.959012508392334, 22.215537078458333)
(1.9269824028015137, 22.310866575148196)
(1.9651639461517334, 22.50555031362957)
(1.9392948150634766, 22.616791281572937)
(1.955782413482666, 20.732383219294377)
(1.9558777809143066, 22.241206615952976)
(1.9501066207885742, 22.598388784621946)
(1.9640121459960938, 22.09497159785462)
(1.9864983558654785, 22.83427806302434)
(1.9988176822662354, 20.818560370889013)
(2.0265445709228516, 22.315494780356904)
(1.927919864654541, 22.807521276027924)
(1.9545917510986328, 22.37792256276288)
(1.9492599964141846, 22.25212973503737)
(1.986107587814331, 22.386716331751032)
(2.882216453552246, 22.60740349893623)
(3.8499319553375244, 22.677639226853387)
(3.5025227069854736, 22.425462967783503)
(2.766789674758911, 22.861469318746643)
(2.3748598098754883, 22.68957460078455)
(2.1980931758880615, 22.207741234910333)
(2.1179471015930176, 21.89757042677506)
(2.2030484676361084, 22.5350226881265)
(2.25435209274292, 22.394437256020137)
(2.3871798515319824, 22.526164813672363)
(2.9776058197021484, 22.679886537631084)
(2.624938726425171, 22.282567089542624)

Promedio de tiempos:
2.140620913505554 segundos
2140.620913505554 milisegundos

Desviación estándar:
0.39801473672473847 segundos
398.0147367247385 milisegundos

Promedio valor función objetivo:
22.3853359698988
Desviación estándar valor función objetivo:
0.39801473672473847
