Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.6434938907623291, 22.042244913965078)
(0.6334795951843262, 22.309897852098228)
(0.633049488067627, 22.12329283213462)
(0.6114058494567871, 20.91413855145914)
(0.6350052356719971, 22.04945603948319)
(0.6359233856201172, 22.543539739970484)
(0.6299192905426025, 22.31942534572112)
(0.6250815391540527, 22.377817598242775)
(0.6274168491363525, 22.22587545547534)
(0.6309189796447754, 22.45058541037094)
(0.6294188499450684, 22.130324835345323)
(0.6384241580963135, 22.241524297276424)
(0.6346206665039062, 22.67574962843829)
(0.6690211296081543, 22.47264438930875)
(0.6114058494567871, 20.48068903321831)
(0.6405203342437744, 22.25999062911201)
(0.6324210166931152, 22.351517313033295)
(0.6315431594848633, 22.535839487734762)
(0.6309199333190918, 22.565648304212544)
(0.6284167766571045, 22.514913442378344)
(0.6299698352813721, 22.359734281803924)
(0.6454908847808838, 22.672165242579457)
(0.632920503616333, 22.686321353000633)
(0.6304185390472412, 22.280772034595305)
(0.6359221935272217, 22.218026469615985)
(0.6329207420349121, 22.445083209970157)
(0.632920503616333, 22.75502429635244)
(0.6289174556732178, 22.101416726907114)
(0.6539361476898193, 22.182797893572644)
(0.6409773826599121, 22.167262125339867)
(0.6329894065856934, 22.539741116462658)
(0.6504335403442383, 22.53225912544885)
(0.6319200992584229, 22.54907975669201)
(0.6309189796447754, 22.11970287331445)
(0.6304194927215576, 22.406158011042315)
(0.6279160976409912, 22.325733403461772)
(0.6324214935302734, 22.803415717551257)
(0.619410514831543, 20.395623111358738)
(0.6249163150787354, 22.318584974353417)
(0.6299192905426025, 22.05173458812312)
(0.6304187774658203, 22.300814454670263)
(0.6319208145141602, 22.801119959786444)
(0.6294176578521729, 22.326138981192855)
(0.6314189434051514, 22.51894980390398)
(0.6449697017669678, 22.072022115759644)
(0.6444270610809326, 22.07931019406652)
(0.635491132736206, 22.425092081673853)
(0.6085102558135986, 20.470042612343622)
(0.6304202079772949, 22.661253586122847)
(0.6334223747253418, 22.431928280027357)

Promedio de tiempos:
0.6329696464538574 segundos
632.9696464538574 milisegundos

Desviación estándar:
0.009798524383284924 segundos
9.798524383284924 milisegundos

Promedio valor función objetivo:
22.23164846960145
Desviación estándar valor función objetivo:
0.5348115480408994
