Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(11.321223974227905, 22.605992480497253)
(11.211951494216919, 22.224565062114713)
(11.273991823196411, 22.239410107620476)
(11.292503833770752, 22.4151239738497)
(11.322524070739746, 22.518839645197286)
(11.308014392852783, 22.55554781367336)
(11.267084121704102, 22.46847112554541)
(11.245973825454712, 22.01011614829529)
(11.250476360321045, 22.662746317418293)
(11.271990537643433, 22.609422801741943)
(11.297007083892822, 22.453651173940244)
(11.339147090911865, 22.349894718919096)
(11.288001298904419, 22.249528847390927)
(11.275493383407593, 22.577701452409954)
(11.27299165725708, 22.313786107430495)
(11.061355829238892, 22.09125451275601)
(11.220957279205322, 22.44626389963007)
(11.260982751846313, 22.65182743556447)
(11.293505191802979, 22.58285663336086)
(11.225960493087769, 22.14564469030689)
(11.277493238449097, 22.521319277609052)
(10.720123529434204, 21.04511243988982)
(11.215453147888184, 22.609839917512442)
(11.26098370552063, 22.537077872758587)
(11.28149676322937, 22.26310472472011)
(11.303011417388916, 22.376662558228244)
(11.275492668151855, 22.336674002369897)
(11.315018653869629, 22.409671108367565)
(11.222457885742188, 22.428632067915125)
(11.273491621017456, 22.62253536638571)
(11.321024179458618, 22.533947376769582)
(11.282497882843018, 22.58038216776289)
(11.26047968864441, 22.554661729296885)
(11.238969087600708, 22.547643704515536)
(11.266986846923828, 22.67018232740839)
(11.258981943130493, 22.65141620767167)
(11.216953754425049, 22.60081286192273)
(11.211952686309814, 22.542633787389434)
(11.283081769943237, 22.484819415362693)
(11.252477407455444, 22.25072948693489)
(11.223458290100098, 22.305119026832102)
(11.285499334335327, 22.472993569607752)
(10.778162479400635, 20.50290972790066)
(10.783666372299194, 20.736570720969794)
(11.310016393661499, 22.93026310547094)
(11.239969253540039, 22.42012729319054)
(11.312018156051636, 22.255956221754822)
(11.256983995437622, 22.59799827851027)
(11.246594190597534, 22.40074778831691)
(11.260482549667358, 22.534742239819632)

Promedio de tiempos:
11.234728307724 segundos
11234.728307723999 milisegundos

Desviación estándar:
0.12739007881160724 segundos
127.39007881160724 milisegundos

Promedio valor función objetivo:
22.357958626416554
Desviación estándar valor función objetivo:
0.4403256900288117
