Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 90 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(5.1562511920928955, 22.105414516228826)
(5.016834259033203, 22.13590797004325)
(5.078129291534424, 22.168126439934525)
(5.109366416931152, 22.353151647980436)
(5.110527992248535, 22.25197809225564)
(5.156245946884155, 22.35164133229744)
(5.046870946884155, 22.24481407041048)
(5.094922304153442, 22.660134660929383)
(5.046870946884155, 22.375057827197754)
(5.110535621643066, 22.332522079887386)
(5.125004529953003, 22.237663739640137)
(5.079272985458374, 22.563685830193744)
(5.140620470046997, 22.149471389820977)
(5.079298257827759, 22.3859503298481)
(5.1093714237213135, 22.923940250025783)
(5.156254529953003, 22.53945313628373)
(5.063645839691162, 22.39232719628978)
(5.109374761581421, 22.3244714585895)
(5.09375, 22.257943984774244)
(5.110534191131592, 22.278786520215753)
(5.1249964237213135, 22.085885174411878)
(5.215392827987671, 22.09692163465624)
(5.142979383468628, 22.274296039893105)
(5.078176975250244, 22.25889854504623)
(5.0012006759643555, 21.98999924124769)
(5.359371900558472, 22.110472994136057)
(5.062502861022949, 22.054407494806078)
(5.093748092651367, 22.173347224208214)
(5.014373540878296, 21.86152022292935)
(5.125002384185791, 22.064126979233645)
(5.093808889389038, 22.407633768722075)
(5.095179796218872, 22.54389801416894)
(5.078125238418579, 22.67938704846692)
(5.126210451126099, 22.73350338293867)
(5.171874761581421, 22.87794218456399)
(5.094465732574463, 22.4798478863169)
(5.093750238418579, 22.184562709715397)
(5.075693130493164, 22.53644898959465)
(5.096912384033203, 22.47024563964941)
(5.171876907348633, 22.203047324022368)
(5.20312237739563, 20.55663012912642)
(5.0896265506744385, 22.246841802150794)
(5.093745708465576, 22.58854124769604)
(5.218754053115845, 20.66027691521808)
(5.157445907592773, 22.517677190328396)
(5.109379291534424, 22.34386919681257)
(5.079835891723633, 22.257573088260827)
(5.075216293334961, 22.133479053467635)
(5.125035047531128, 22.670215088460097)
(5.130172252655029, 22.149541573588834)

Promedio de tiempos:
5.111833157539368 segundos
5111.833157539368 milisegundos

Desviación estándar:
0.05769010386950214 segundos
57.690103869502146 milisegundos

Promedio valor función objetivo:
22.264869605133686
Desviación estándar valor función objetivo:
0.40507825251526586
