Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.856116771697998, 22.513511264919945)
(0.8437528610229492, 22.432524203737984)
(0.8437509536743164, 22.40100064804821)
(0.8593704700469971, 22.60443130243477)
(0.8437542915344238, 22.07772692015851)
(0.8437509536743164, 22.307383366980968)
(0.9062449932098389, 22.070478331304248)
(0.8489413261413574, 22.399018203199766)
(0.8437457084655762, 22.333927522472464)
(0.8593785762786865, 22.13394644943797)
(0.8437502384185791, 22.34514391335229)
(0.8437504768371582, 21.89253221989429)
(0.8281252384185791, 20.19285670975169)
(0.84375, 22.509201135225812)
(0.90625, 22.236070580530328)
(0.84375, 21.989087064527858)
(0.8749980926513672, 20.41485012580403)
(0.8437511920928955, 21.99138584910319)
(0.8593754768371582, 22.082939545117355)
(0.843745231628418, 22.197616960685618)
(0.843747615814209, 22.03226709171842)
(0.859375, 22.288914002506157)
(0.906771183013916, 22.747510905635046)
(0.8750002384185791, 20.302963182961644)
(0.8437495231628418, 22.110862804062823)
(0.8593711853027344, 22.34084335413854)
(0.8437497615814209, 22.061028727331905)
(0.846928596496582, 22.239554439370316)
(0.8593757152557373, 22.56072917198725)
(0.843742847442627, 22.77769923217844)
(0.9062480926513672, 22.242755539401884)
(0.8437461853027344, 22.605581699562833)
(0.8593814373016357, 22.147942308510718)
(0.8504848480224609, 22.142667461372184)
(0.8437530994415283, 22.430745639940653)
(0.8437495231628418, 22.093500393710833)
(0.8437495231628418, 22.339654619535157)
(0.84375, 20.34347554245856)
(0.9218752384185791, 22.6078947888258)
(0.8593807220458984, 22.45409726164935)
(0.8438196182250977, 22.40589686046277)
(0.8437466621398926, 21.926699317394185)
(0.8437540531158447, 22.119572811562012)
(0.8437492847442627, 22.049887304257084)
(0.84375, 22.131387821466408)
(0.8593714237213135, 20.866453581026455)
(0.9062459468841553, 22.229685058287007)
(0.8593747615814209, 22.21249941649382)
(0.8437550067901611, 22.344902613583734)
(0.8593740463256836, 22.251550835467096)

Promedio de tiempos:
0.8564984798431396 segundos
856.4984798431396 milisegundos

Desviación estándar:
0.021302975527300802 segundos
21.302975527300802 milisegundos

Promedio valor función objetivo:
22.090697122070928
Desviación estándar valor función objetivo:
0.5954609953871195
