Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.18750309944152832, 22.164916805595226)
(0.20311808586120605, 20.648784756889206)
(0.171875, 22.32285030609979)
(0.17187714576721191, 22.296215802260466)
(0.17187285423278809, 22.266230927800716)
(0.1718754768371582, 22.53397989880682)
(0.17187118530273438, 21.88320456172821)
(0.17187857627868652, 22.11708648043247)
(0.17187261581420898, 22.257888684679077)
(0.17187738418579102, 22.291347111778425)
(0.1718747615814209, 20.689518195135822)
(0.17187023162841797, 22.303023480236583)
(0.17187714576721191, 22.75360724061857)
(0.17187929153442383, 22.31693971245023)
(0.17186903953552246, 22.19292724417019)
(0.17187905311584473, 22.225745128340726)
(0.17187094688415527, 22.510550517627998)
(0.23438239097595215, 21.92403290893042)
(0.17187213897705078, 22.46045432629691)
(0.2031257152557373, 22.394477707659856)
(0.15659832954406738, 22.3027320255676)
(0.15596222877502441, 22.450677434086735)
(0.1562509536743164, 22.372328763706957)
(0.1718752384185791, 22.40159707716489)
(0.1718747615814209, 22.179165794964128)
(0.1718752384185791, 22.121895617133088)
(0.1718754768371582, 22.543362446046956)
(0.171875, 22.42000550788328)
(0.17186975479125977, 22.18694039483087)
(0.17187952995300293, 22.29329255043729)
(0.17186951637268066, 22.263190721222287)
(0.17188119888305664, 22.797109695865878)
(0.17186951637268066, 22.707920740373098)
(0.17187952995300293, 22.38592553785137)
(0.17187047004699707, 21.783592835889174)
(0.1562507152557373, 22.06633108643983)
(0.15624713897705078, 22.39399590235836)
(0.15624690055847168, 20.605620823841345)
(0.15624475479125977, 22.497920916953408)
(0.15624523162841797, 22.282796568172614)
(0.1562504768371582, 22.3743160671292)
(0.15624666213989258, 21.993201473117693)
(0.1562497615814209, 21.677690620187448)
(0.1718747615814209, 22.830458803127648)
(0.1718757152557373, 22.185444373153402)
(0.1718742847442627, 22.889293320148692)
(0.1718754768371582, 22.081206835761865)
(0.15624403953552246, 22.28367358953106)
(0.1718757152557373, 21.894738729686424)
(0.17187905311584473, 20.70938468912193)

Promedio de tiempos:
0.1709381914138794 segundos
170.9381914138794 milisegundos

Desviación estándar:
0.01340820522587245 segundos
13.40820522587245 milisegundos

Promedio valor función objetivo:
22.170591854785844
Desviación estándar valor función objetivo:
0.01340820522587245
