Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(4.024836778640747, 22.550682605221066)
(3.953125476837158, 22.620187178264118)
(3.874998092651367, 21.523687700166093)
(3.90624737739563, 21.880222747515123)
(3.9777743816375732, 22.453374612907993)
(4.014737606048584, 22.589168809131248)
(3.9924185276031494, 22.490418047541628)
(3.906242609024048, 22.017100717823652)
(4.04803466796875, 20.820298286161663)
(3.9050652980804443, 22.348542627850602)
(3.9375195503234863, 22.579643077598387)
(3.937495231628418, 22.331126059793537)
(3.9389472007751465, 22.26646045358024)
(3.9999983310699463, 22.556184434273877)
(3.9516637325286865, 22.061959107658442)
(3.937499761581421, 21.858381566346484)
(3.953073501586914, 22.286971220656124)
(3.9688117504119873, 22.71113835445895)
(3.968683958053589, 22.437283937998565)
(4.017895936965942, 22.284633282109755)
(3.9375, 22.38181135868626)
(3.9386439323425293, 22.341982978845387)
(3.9374992847442627, 22.836200316453912)
(3.890625, 21.723184255038518)
(3.9542975425720215, 22.46114219352003)
(3.953125, 22.782069162958095)
(4.015625953674316, 22.793732950014466)
(3.9386587142944336, 22.745988099994104)
(3.9531257152557373, 22.36920956555948)
(3.9712843894958496, 22.42619974022516)
(3.9067111015319824, 22.177469027400797)
(3.93750262260437, 22.535277945903207)
(4.001157760620117, 22.19675385107737)
(3.937495470046997, 22.526144223985856)
(3.920475959777832, 22.436825193768833)
(3.9426746368408203, 21.841011562353476)
(3.9218740463256836, 22.07486971257186)
(3.921870708465576, 22.598624264753933)
(4.094947099685669, 20.36994958011046)
(3.9374992847442627, 22.157470259934883)
(3.953119993209839, 22.42435096765226)
(3.923734426498413, 22.527048290756706)
(3.9218733310699463, 22.281637316025375)
(3.921870231628418, 22.071701170659967)
(3.9390757083892822, 22.16168115575286)
(4.015625238418579, 22.59409337261091)
(3.938643455505371, 22.011829178447428)
(3.9375009536743164, 22.386897737938963)
(3.9374992847442627, 22.214795572733273)
(3.906249761581421, 22.161446817215765)

Promedio de tiempos:
3.952457127571106 segundos
3952.457127571106 milisegundos

Desviación estándar:
0.04195326454613591 segundos
41.95326454613591 milisegundos

Promedio valor función objetivo:
22.265577253000142
Desviación estándar valor función objetivo:
0.44329694612825904
