Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.0276827812194824, 30.895173734320874)
(1.3399531841278076, 30.962014688759094)
(1.4085693359375, 30.857134656847176)
(4.5891125202178955, 31.01900503521459)
(1.1952941417694092, 30.882523420003864)
(2.9279444217681885, 30.936304976222704)
(1.6631052494049072, 30.88478156570341)
(1.796694040298462, 31.014382501702343)
(1.28385329246521, 30.857255881251607)
(1.1277494430541992, 30.93569445834648)
(1.1652743816375732, 30.985648666249617)
(5.957958698272705, 31.025011945219546)
(1.3423922061920166, 30.940311080231318)
(3.0064985752105713, 30.982647248279886)
(1.3268814086914062, 30.93814940909314)
(1.3318850994110107, 31.013351170404906)
(5.764331102371216, 30.92190273468829)
(1.444000244140625, 30.887272672087914)
(1.064828634262085, 31.044095001677427)
(1.2083654403686523, 30.892414372270704)
(1.4074339866638184, 30.91510118630262)
(1.5660405158996582, 30.901409633153218)
(6.522833347320557, 30.99016114344493)
(1.243826150894165, 30.895565969646086)
(1.3739125728607178, 31.03599438833397)
(1.4134392738342285, 30.88942956897444)
(1.3408911228179932, 30.917446580617302)
(1.0386908054351807, 30.98593260182345)
(1.3033661842346191, 30.972792941727977)
(1.5300166606903076, 30.859047864129554)
(1.789189100265503, 30.93197561380944)
(1.4959940910339355, 30.913660181169817)
(1.0401911735534668, 31.026450399605675)
(1.0747697353363037, 30.90872514632431)
(2.150999069213867, 31.011610781726628)
(1.1212446689605713, 30.914348861428792)
(0.9901580810546875, 31.003043438929485)
(2.587219476699829, 30.991860684910485)
(1.1967954635620117, 30.89042006931204)
(1.1707780361175537, 30.934964861984763)
(1.3609044551849365, 30.979798963960167)
(1.2378227710723877, 30.949561325213164)
(1.6325843334197998, 30.94405603964957)
(1.318876028060913, 31.046484540627898)
(1.1462619304656982, 30.875716841139752)
(2.9904873371124268, 31.028249820071807)
(1.164273738861084, 30.99835257417973)
(0.9606387615203857, 30.9409842869535)
(1.1862883567810059, 30.96169272609459)
(1.508502721786499, 30.960181242719624)

Promedio de tiempos:
1.7967360830307006 segundos
1796.7360830307007 milisegundos

Desviación estándar:
1.2642007829097963 segundos
1264.2007829097963 milisegundos

Promedio valor función objetivo:
30.94900190993079
Desviación estándar valor función objetivo:
0.05385795481488161
