Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(4.8992555141448975, 30.86941424399882)
(1.5855538845062256, 30.989654640638772)
(3.9030942916870117, 30.968969123491462)
(2.351562738418579, 30.99098088389928)
(3.0380184650421143, 31.019804816817864)
(3.143589496612549, 30.941942570742643)
(2.0373523235321045, 30.945131434299558)
(2.4236104488372803, 30.971803103865412)
(1.6170744895935059, 31.090704070203415)
(1.4719772338867188, 31.000079091345217)
(2.066873550415039, 31.017924245014747)
(3.6869494915008545, 30.964996853639036)
(5.9154345989227295, 30.998815843809)
(1.6681087017059326, 30.972805820192004)
(2.8860530853271484, 30.98658179926826)
(1.501497507095337, 31.035189086752307)
(1.3078694343566895, 31.002423968439906)
(1.787186861038208, 31.01691099598939)
(1.7621715068817139, 30.966702698481686)
(3.02901291847229, 31.005377404781512)
(4.523005962371826, 31.113247402820768)
(1.7011303901672363, 30.982687117712516)
(3.694956064224243, 31.10570431422207)
(1.4694764614105225, 31.072606953579335)
(1.2793498039245605, 31.04636637412052)
(1.392425298690796, 30.987721735968538)
(5.612729549407959, 30.999469818030516)
(1.8547322750091553, 31.045121366907683)
(1.7096366882324219, 31.047099803283476)
(1.547027826309204, 30.984555234432232)
(3.811032772064209, 31.02862938039549)
(1.6476776599884033, 30.916334127244195)
(1.2870135307312012, 31.002082857061264)
(2.047497510910034, 30.96535912175184)
(1.5966260433197021, 30.91406868944129)
(1.3724117279052734, 30.961344629173578)
(1.3208770751953125, 31.011823835199095)
(4.131293296813965, 30.97918435228922)
(3.0325939655303955, 30.998669978016405)
(1.7881889343261719, 31.000676023486182)
(1.2763481140136719, 31.0471456570147)
(2.287519931793213, 31.07447631574182)
(1.6480953693389893, 31.073524074073177)
(7.547515630722046, 31.02933602975315)
(3.4848155975341797, 31.0920522320368)
(7.388909816741943, 30.9121138321775)
(1.9643049240112305, 31.049881632482318)
(1.4584691524505615, 30.947561069671938)
(3.208132743835449, 30.93311348471556)
(1.411438226699829, 30.97478262539002)

Promedio de tiempos:
2.6115495777130127 segundos
2611.5495777130127 milisegundos

Desviación estándar:
1.5288936302796667 segundos
1528.8936302796667 milisegundos

Promedio valor función objetivo:
31.001059055277263
Desviación estándar valor función objetivo:
0.05186546337554914
