Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.6894588470458984, 30.95867682296495)
(0.8915929794311523, 30.97763958759372)
(0.7995309829711914, 31.04795242072857)
(1.0572023391723633, 30.928800226281965)
(0.609405517578125, 31.036781878900335)
(0.8120400905609131, 31.008915026932414)
(0.6994647979736328, 30.913647311254408)
(0.9296174049377441, 30.977592860293477)
(0.995290994644165, 30.926712154907726)
(0.9821529388427734, 31.00157285266009)
(1.0897235870361328, 31.022884458187953)
(1.0143067836761475, 30.90746463485162)
(1.4645981788635254, 30.904898072252486)
(0.817676305770874, 30.943909681935487)
(1.191972255706787, 31.042847873112798)
(1.072713851928711, 30.97127999408002)
(1.160771369934082, 31.019045043774852)
(1.0118002891540527, 30.974710753677062)
(1.6405901908874512, 30.998918899097003)
(0.9496314525604248, 30.897401365128978)
(1.0406908988952637, 30.98062318062329)
(1.0917260646820068, 30.959186033547173)
(0.8855874538421631, 31.040133823497687)
(1.0121722221374512, 30.94963074139882)
(0.9766485691070557, 30.972543256736913)
(1.280351161956787, 30.961279011885637)
(0.8971612453460693, 30.952318901281497)
(1.0853016376495361, 30.983227387410544)
(0.9746475219726562, 30.913446732999)
(1.0982296466827393, 31.008046824366833)
(0.8915925025939941, 30.952143436759634)
(0.8615727424621582, 31.011820815219007)
(1.0461945533752441, 30.961076611728554)
(1.2065463066101074, 30.961688382034712)
(1.111802577972412, 30.956201004054122)
(1.3942656517028809, 31.003828453156544)
(1.074714183807373, 31.067022821205015)
(1.0677096843719482, 30.984953245443652)
(0.7244815826416016, 30.949184297229234)
(0.7957501411437988, 31.111875167847305)
(1.0411925315856934, 31.01102169495831)
(1.3334441184997559, 31.020993175446264)
(0.8657019138336182, 30.958917772964433)
(1.0743935108184814, 30.947994662401296)
(1.0687823295593262, 31.050700632532795)
(1.036689043045044, 30.992830881404664)
(1.0526998043060303, 30.973871142626255)
(1.0123023986816406, 31.004012129312937)
(0.9056017398834229, 30.99191915901399)
(1.0471954345703125, 30.96199056384794)

Promedio de tiempos:
1.0166938066482545 segundos
1016.6938066482545 milisegundos

Desviación estándar:
0.19069510773813478 segundos
190.69510773813477 milisegundos

Promedio valor función objetivo:
30.981122677231
Desviación estándar valor función objetivo:
0.04415707331113327
