Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.3166611194610596, 22.35647781007191)
(2.3281242847442627, 22.442728448344212)
(2.3281214237213135, 22.27374430898297)
(2.3906290531158447, 22.735158130960958)
(2.3281219005584717, 22.30123597080672)
(2.355154037475586, 22.344737686933048)
(2.3281798362731934, 22.23169110345082)
(2.328141450881958, 22.73777896166293)
(2.3280751705169678, 22.408649795702143)
(2.312523603439331, 22.69939657338479)
(2.328120231628418, 22.41101525459712)
(2.328127145767212, 22.283024562811406)
(2.328126907348633, 22.202084718788132)
(2.3281211853027344, 22.432214358438973)
(2.3762576580047607, 22.11554994385624)
(2.328120231628418, 22.14459002011422)
(2.328129529953003, 22.18456642183048)
(2.3124992847442627, 22.125408705227457)
(2.3281197547912598, 22.36616061001381)
(2.3281216621398926, 21.807596650177178)
(2.343752384185791, 22.292295164305937)
(2.328127384185791, 22.7539342542192)
(2.313645124435425, 22.16923900784384)
(2.390620708465576, 22.344985405241488)
(2.4062507152557373, 22.764928583526643)
(2.343750238418579, 22.344032305382335)
(2.328124761581421, 22.563145288377665)
(2.3761754035949707, 20.47721858385943)
(2.296872615814209, 22.355380356094408)
(2.375000476837158, 21.018695802605084)
(2.328124761581421, 22.415820884650653)
(2.3292930126190186, 22.36829172045531)
(2.3906257152557373, 22.515921977918083)
(2.328125, 22.103305028095257)
(2.3281242847442627, 22.461872149843977)
(2.3124945163726807, 22.425535788393482)
(2.3281307220458984, 22.487004844628203)
(2.328124523162842, 22.318505202215736)
(2.3281257152557373, 22.511975405727533)
(2.3281211853027344, 22.43229818664459)
(2.312500238418579, 22.071503971011445)
(2.3750007152557373, 22.392768130879777)
(2.324826240539551, 22.940881833468424)
(2.312500238418579, 22.07032855053153)
(2.3281242847442627, 21.868794577403833)
(2.3281257152557373, 22.528186647548416)
(2.3749985694885254, 21.14757664380884)
(2.343752861022949, 22.633826360782187)
(2.3437440395355225, 22.177293577766548)
(2.343754291534424, 22.631128789032037)

Promedio de tiempos:
2.3375282382965086 segundos
2337.528238296509 milisegundos

Desviación estándar:
0.02413310927842627 segundos
24.13310927842627 milisegundos

Promedio valor función objetivo:
22.283809701168348
Desviación estándar valor función objetivo:
0.02413310927842627
