Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.20300817489624023, 22.29943694475724)
(0.12099695205688477, 22.50656150279066)
(0.12799835205078125, 22.66386441219796)
(0.1280202865600586, 22.344062417066876)
(0.1270003318786621, 22.397152638401742)
(0.12900114059448242, 22.10519363478345)
(0.14599943161010742, 22.01291603304558)
(0.12801766395568848, 22.192274176063783)
(0.12200069427490234, 22.66621711178657)
(0.136000394821167, 22.125617057556305)
(0.12901568412780762, 22.534717768809973)
(0.12599396705627441, 22.328480607815365)
(0.1270155906677246, 22.62542263029908)
(0.13399720191955566, 22.286139489701448)
(0.13199710845947266, 22.613490870795513)
(0.13199162483215332, 22.22288610840756)
(0.13399815559387207, 22.506809777427566)
(0.14999055862426758, 22.237578129441342)
(0.13199663162231445, 22.638756638932005)
(0.13099956512451172, 22.23802610842789)
(0.1320018768310547, 22.362906347773556)
(0.14599108695983887, 22.546178797137536)
(0.13799643516540527, 22.318317242443307)
(0.13899922370910645, 20.719197999159743)
(0.12399744987487793, 22.757599335003047)
(0.13199639320373535, 22.24797191557491)
(0.12600135803222656, 22.182402660479845)
(0.1249992847442627, 22.382834541311972)
(0.12399959564208984, 22.546643574527433)
(0.1289994716644287, 22.133120606703322)
(0.17800140380859375, 21.877606971051893)
(0.14400315284729004, 22.383160119979394)
(0.14599990844726562, 21.841408992302213)
(0.12799835205078125, 22.21723840150812)
(0.13100028038024902, 22.370054208917608)
(0.13299965858459473, 22.230621079455126)
(0.13000226020812988, 22.13461385776542)
(0.132002592086792, 22.09121363871383)
(0.13501882553100586, 22.56392297740529)
(0.13198041915893555, 22.477435678035423)
(0.12599468231201172, 22.500831443001445)
(0.1399986743927002, 22.209240653727022)
(0.12799954414367676, 21.31664403766113)
(0.1279771327972412, 22.60031350878379)
(0.12600016593933105, 22.532557722381455)
(0.12299966812133789, 22.319439790238334)
(0.12999343872070312, 22.314253602617626)
(0.13000035285949707, 22.471711339803228)
(0.12399983406066895, 22.273469031992445)
(0.1450042724609375, 22.60701590375043)

Promedio de tiempos:
0.13397992610931397 segundos
133.97992610931396 milisegundos

Desviación estándar:
0.013596906931751454 segundos
13.596906931751455 milisegundos

Promedio valor función objetivo:
22.301510600754277
Desviación estándar valor función objetivo:
0.013596906931751454
