Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.179020404815674, 20.892659704295607)
(2.126999616622925, 22.288582674490325)
(2.113999843597412, 22.299165617503775)
(2.0440011024475098, 22.25356951147341)
(2.044999599456787, 22.22756442409979)
(2.0660207271575928, 22.69621202863417)
(2.0729777812957764, 22.36395985824303)
(2.0590202808380127, 22.740494334503293)
(2.101003646850586, 20.97945319869158)
(2.0420005321502686, 22.495038933332847)
(2.102020502090454, 20.766025638832758)
(2.1219754219055176, 22.482744576569374)
(2.070998191833496, 22.28399829325781)
(2.0590169429779053, 22.6995097300564)
(2.1009955406188965, 20.703190858841875)
(2.0829718112945557, 22.230087476456003)
(2.060016393661499, 22.514490157430842)
(2.1249992847442627, 20.493434863757784)
(2.074002981185913, 22.658063017341316)
(2.028993606567383, 22.562981153305028)
(2.1410019397735596, 22.257352015363377)
(2.0769965648651123, 22.32359008010953)
(2.182997941970825, 22.374808173224633)
(2.0829944610595703, 22.489728381553146)
(2.1330158710479736, 22.87216881971525)
(2.05499267578125, 22.518349283914613)
(2.1270029544830322, 22.630743117408564)
(2.075016498565674, 22.550506490025516)
(2.1429812908172607, 22.357793997381485)
(2.0620157718658447, 22.65268485431613)
(2.0699656009674072, 22.19434723376051)
(2.0780019760131836, 22.436657850870997)
(2.0509934425354004, 22.713716218810198)
(2.092998504638672, 22.28940221960545)
(2.0750200748443604, 22.338051180490343)
(2.0589771270751953, 22.436007410398577)
(2.100015163421631, 20.590969530397334)
(2.0559935569763184, 22.44204243180187)
(2.148969888687134, 22.639831486759075)
(2.123016595840454, 22.550898466318003)
(2.088977336883545, 22.494864755336618)
(2.114001989364624, 22.266806536046587)
(2.185997724533081, 22.501278318469616)
(2.067011833190918, 22.4273063363127)
(2.0869762897491455, 22.45237821056381)
(2.023998260498047, 21.79126850292026)
(1.9930205345153809, 21.752405639301163)
(2.041999578475952, 22.125840155042887)
(2.069995641708374, 22.491198197731002)
(2.074004888534546, 22.477746396843582)

Promedio de tiempos:
2.087099723815918 segundos
2087.099723815918 milisegundos

Desviación estándar:
0.04061173030758895 segundos
40.61173030758895 milisegundos

Promedio valor función objetivo:
22.22143936683819
Desviación estándar valor función objetivo:
0.04061173030758895
