Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.3340024948120117, 22.158139912725282)
(0.34800004959106445, 22.133898901222185)
(0.35797715187072754, 20.904696295169718)
(0.3210012912750244, 22.79363444413097)
(0.3599991798400879, 22.69326916269803)
(0.33499813079833984, 22.638872532314934)
(0.33100056648254395, 22.5736616740369)
(0.33298611640930176, 22.478613447084015)
(0.3379943370819092, 22.09759480792249)
(0.3439762592315674, 22.36143117717354)
(0.3540217876434326, 22.23228728653579)
(0.34199047088623047, 22.3850915137244)
(0.3389780521392822, 22.08081344890941)
(0.33299922943115234, 22.387311866756434)
(0.3210151195526123, 22.130906542067503)
(0.324979305267334, 22.710488431093793)
(0.32102251052856445, 22.101911795703202)
(0.32597804069519043, 22.26950017094655)
(0.3380007743835449, 22.302494636071927)
(0.3459744453430176, 22.677839605100818)
(0.34497880935668945, 22.67753949412035)
(0.3620002269744873, 22.78860600401337)
(0.35501980781555176, 22.793177667774344)
(0.3329763412475586, 20.312821002079758)
(0.3770008087158203, 22.36583424709331)
(0.3529977798461914, 22.397334640231215)
(0.5500013828277588, 22.588975502456748)
(0.34497642517089844, 22.346813316826015)
(0.3339998722076416, 20.560691666081397)
(0.32200074195861816, 22.373284846386504)
(0.34702110290527344, 22.033330462362777)
(0.3387937545776367, 21.095983772707434)
(0.3982558250427246, 22.323109696381163)
(0.3439927101135254, 22.37833483065283)
(0.34094786643981934, 22.480712581947365)
(0.3511223793029785, 22.56565210041228)
(0.34054064750671387, 22.64257768616496)
(0.3450038433074951, 22.42845879269653)
(0.3410148620605469, 22.186900679046687)
(0.3699800968170166, 22.131430506591318)
(0.3560221195220947, 22.38009403658847)
(0.3459959030151367, 22.653796216652022)
(0.3430168628692627, 22.457911308024787)
(0.33498406410217285, 22.50609719587933)
(0.3299999237060547, 22.253097124078558)
(0.33501625061035156, 22.550143808607007)
(0.34897804260253906, 22.668101506409634)
(0.3340013027191162, 22.224808201947262)
(0.3319973945617676, 20.34155519590351)
(0.3470273017883301, 22.42124610985652)

Promedio de tiempos:
0.3469311952590942 segundos
346.93119525909424 milisegundos

Desviación estándar:
0.032369486777974306 segundos
32.36948677797431 milisegundos

Promedio valor función objetivo:
22.24081755702723
Desviación estándar valor función objetivo:
0.032369486777974306
