Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.9050014019012451, 22.488410327875524)
(0.8550012111663818, 22.10026100423793)
(0.8309977054595947, 22.315796640479192)
(0.7839992046356201, 21.98002566549882)
(0.7599968910217285, 21.831909977014547)
(0.8500020503997803, 22.086666953871074)
(0.8839967250823975, 22.497400340980548)
(0.9370181560516357, 20.964124994625983)
(0.8029971122741699, 22.158910725619485)
(0.7609970569610596, 22.489859398334175)
(0.8219771385192871, 22.121762788984597)
(0.8610000610351562, 22.729185315202965)
(0.7939956188201904, 22.246799382215446)
(0.8429992198944092, 21.92996723317804)
(0.8050017356872559, 21.824441232594573)
(0.8449985980987549, 22.527358412230384)
(0.8240025043487549, 22.278250534272242)
(0.8929951190948486, 22.363024267619867)
(0.8359973430633545, 22.39428643721016)
(0.8630027770996094, 22.10281441163058)
(0.8889954090118408, 22.31845827586958)
(0.8520019054412842, 22.353457990367303)
(0.8609938621520996, 22.779126335309677)
(0.8480184078216553, 21.89300628434647)
(0.9150011539459229, 22.58330365787843)
(0.8080029487609863, 22.37493153822699)
(0.8259990215301514, 22.316375191187696)
(0.7939956188201904, 22.531333729019714)
(0.8909993171691895, 22.26367407238225)
(0.7820003032684326, 22.45424385053777)
(1.3970000743865967, 22.70360085288403)
(0.858997106552124, 22.27906785553905)
(0.7850003242492676, 22.32951970065757)
(0.8840041160583496, 20.389312141158296)
(0.8429958820343018, 20.295802941010354)
(0.7990026473999023, 22.527893692394287)
(0.8109984397888184, 22.144112020327775)
(0.8330032825469971, 22.123584438153564)
(0.824998140335083, 22.33573628025876)
(0.8680007457733154, 22.431087479868655)
(0.8149979114532471, 22.02928318044639)
(0.7860004901885986, 21.628437999203197)
(0.8559987545013428, 22.726258661189203)
(0.8280010223388672, 22.302567481905232)
(0.8379969596862793, 22.32403428796549)
(0.7999997138977051, 22.639049402421627)
(0.9269998073577881, 20.836392320841647)
(0.862006425857544, 22.552154241362114)
(0.8170135021209717, 22.735904917262694)
(0.8389804363250732, 22.635214482071326)

Promedio de tiempos:
0.8498796272277832 segundos
849.8796272277832 milisegundos

Desviación estándar:
0.08800692270614058 segundos
88.00692270614057 milisegundos

Promedio valor función objetivo:
22.18536362691447
Desviación estándar valor función objetivo:
0.08800692270614058
