Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.5739998817443848, 22.419529023582314)
(0.5509812831878662, 22.399193691301022)
(0.6100127696990967, 22.338971568605743)
(0.6209969520568848, 22.295782932396428)
(0.6199796199798584, 22.659258228551497)
(0.540020227432251, 22.54873646750494)
(0.5699806213378906, 22.200005548413657)
(0.5549988746643066, 21.960243522218455)
(0.5649993419647217, 22.12548244631527)
(0.5450005531311035, 22.127413051367242)
(0.5779993534088135, 20.622981694648537)
(0.5779988765716553, 22.112879322198097)
(0.6210176944732666, 22.61412834943321)
(0.5979788303375244, 20.9785269388941)
(0.5920178890228271, 22.472748741476526)
(0.5909786224365234, 22.276368258850514)
(0.5710000991821289, 22.14298700070092)
(0.6100201606750488, 22.07274645865206)
(0.6340007781982422, 20.934020494471262)
(0.6209979057312012, 22.090740313793262)
(0.5849804878234863, 22.502335225150105)
(0.5959997177124023, 21.900708382854916)
(0.5940203666687012, 22.349820293497654)
(0.5959796905517578, 22.79442116853737)
(0.6289997100830078, 22.477916715184257)
(0.5980057716369629, 21.83161186403559)
(0.6279942989349365, 22.047164153025317)
(0.6030533313751221, 22.366166813304993)
(0.5759820938110352, 22.333404261702192)
(0.5709984302520752, 21.99737349107786)
(0.6109981536865234, 21.959846002556382)
(0.6209948062896729, 22.298983153844507)
(0.5680201053619385, 22.367544859194773)
(0.6039817333221436, 22.25707863703749)
(0.6059994697570801, 21.99564865947604)
(0.5800189971923828, 22.74368210732913)
(0.5879764556884766, 21.928774656747116)
(0.5730206966400146, 22.379946373304865)
(0.6279964447021484, 22.641565854433754)
(0.6099772453308105, 22.098900656794186)
(0.5810186862945557, 22.52170922858992)
(0.5819799900054932, 22.631724525958717)
(0.6030199527740479, 22.37693323617654)
(0.5919787883758545, 22.0359208519754)
(0.5790207386016846, 21.92275726613733)
(0.6029806137084961, 22.067745052600653)
(0.7909989356994629, 22.064011395463805)
(0.6119997501373291, 22.25206350208152)
(0.6080191135406494, 22.023032736165185)
(0.623997688293457, 22.834365221785973)

Promedio de tiempos:
0.5976998519897461 segundos
597.6998519897461 milisegundos

Desviación estándar:
0.0358437825832177 segundos
35.8437825832177 milisegundos

Promedio valor función objetivo:
22.187918007987964
Desviación estándar valor función objetivo:
0.0358437825832177
