Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.8789982795715332, 22.49846179290701)
(0.8910012245178223, 22.25222304115667)
(0.7949974536895752, 22.41569693088047)
(0.865999698638916, 22.589706124262026)
(2.371000051498413, 22.2949373583112)
(0.8439970016479492, 22.22457218503136)
(0.8210029602050781, 22.238861819601286)
(0.8270008563995361, 22.196204070299537)
(0.9239990711212158, 22.351977496746937)
(0.8090028762817383, 22.274175542010532)
(0.7539968490600586, 22.506860369172887)
(0.7720057964324951, 22.09781715452409)
(0.8439993858337402, 22.56725659002232)
(0.9159977436065674, 22.312571412490165)
(0.8230016231536865, 22.73520281647263)
(0.9000003337860107, 22.338247486154014)
(0.8189997673034668, 22.299132809274575)
(0.7880010604858398, 22.47674320328922)
(0.7869997024536133, 22.425790286067322)
(0.8179996013641357, 22.23259414488645)
(0.8640031814575195, 22.283836938111328)
(0.9509973526000977, 22.672488260178874)
(0.8560018539428711, 22.193703755925142)
(0.8369991779327393, 22.03187804538287)
(0.942000150680542, 22.46478205555252)
(0.8909945487976074, 22.41900394600264)
(0.832998514175415, 22.163491367872695)
(0.8370006084442139, 20.430311432266514)
(0.8319811820983887, 20.460318170633467)
(0.8199999332427979, 22.4289943194359)
(0.8960020542144775, 21.9236557987404)
(0.8579978942871094, 20.505542519792186)
(0.8689985275268555, 22.32889299325231)
(0.8610019683837891, 22.364646794961086)
(0.8169996738433838, 22.610867173414483)
(0.8190007209777832, 22.159725812569217)
(0.8779962062835693, 22.151596496936243)
(0.8510005474090576, 22.74253126936372)
(1.059999704360962, 22.48279416420912)
(0.8650014400482178, 22.314704356215593)
(0.8840005397796631, 22.169048152043764)
(0.9270007610321045, 22.55394269023612)
(0.8680005073547363, 22.165255149058318)
(0.8329992294311523, 21.956497286900802)
(0.8310022354125977, 21.873571618728167)
(0.8949992656707764, 22.25724497708519)
(0.8569991588592529, 22.807314799398895)
(0.8150029182434082, 22.049173507796432)
(0.9099996089935303, 22.28458210750468)
(0.8040015697479248, 22.494006422177733)

Promedio de tiempos:
0.8861796474456787 segundos
886.1796474456787 milisegundos

Desviación estándar:
0.21837587775226555 segundos
218.37587775226555 milisegundos

Promedio valor función objetivo:
22.221468700306147
Desviación estándar valor función objetivo:
0.21837587775226555
