Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.515632152557373, 22.03849854673837)
(3.546873092651367, 22.349395216614955)
(3.560051918029785, 22.891778304782108)
(3.531247138977051, 22.317268921880263)
(3.5312490463256836, 22.299209115632177)
(3.563636302947998, 22.799984225091354)
(3.438539981842041, 20.966176437720044)
(3.562500238418579, 22.271787132843457)
(3.5468740463256836, 22.528629333355717)
(3.515620470046997, 22.11903617902455)
(3.516822576522827, 22.15725474106323)
(3.562499761581421, 22.526733759638578)
(3.5573997497558594, 22.685667475363676)
(3.5530667304992676, 22.463853828486048)
(3.562500476837158, 22.590577161702363)
(3.5624988079071045, 22.25236412257038)
(3.541785717010498, 22.16105315601363)
(3.5937440395355225, 22.454469061072505)
(3.546875476837158, 22.679245814562957)
(3.5624983310699463, 22.25259664033573)
(3.5624992847442627, 22.390033114785123)
(3.562499523162842, 22.199089012584363)
(3.4285566806793213, 20.805082975989226)
(3.558025598526001, 22.495572807257776)
(3.593748092651367, 22.24194257996482)
(3.5781240463256836, 22.243496055760232)
(3.5433998107910156, 22.376723106899874)
(3.5666377544403076, 22.58341074164727)
(3.5624983310699463, 22.54168348049683)
(3.5312514305114746, 22.249282790793778)
(3.5636539459228516, 22.970612488580457)
(3.562500238418579, 22.378827019317395)
(3.5680294036865234, 22.501822153267213)
(3.558065414428711, 22.407173885374988)
(3.5781242847442627, 22.449045955152016)
(3.5468719005584717, 22.597828757810348)
(3.564074754714966, 22.370831538858813)
(3.5624983310699463, 22.548691916130252)
(3.562500238418579, 22.864265258653756)
(3.5468697547912598, 23.08182140085209)
(3.5636608600616455, 22.393704793521067)
(3.562495470046997, 22.184115274738403)
(3.5620744228363037, 22.08561975037975)
(3.5480551719665527, 22.22211834178333)
(3.531250476837158, 22.282713947149194)
(3.5636675357818604, 22.608236007163846)
(3.5307834148406982, 22.167328201899394)
(3.5468759536743164, 21.906314482610657)
(3.562964916229248, 21.97185046752925)
(3.5781233310699463, 22.689809908975878)

Promedio de tiempos:
3.5504459285736085 segundos
3550.4459285736084 milisegundos

Desviación estándar:
0.02925888802571205 segundos
29.25888802571205 milisegundos

Promedio valor función objetivo:
22.352292547808393
Desviación estándar valor función objetivo:
0.38949224510270436
