Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.234374523162842, 21.892303351761402)
(2.2343740463256836, 22.76975201853168)
(2.187504768371582, 21.798893997121624)
(2.218745470046997, 22.401208173054403)
(2.2343735694885254, 22.59429707946184)
(2.1886558532714844, 21.75107094107328)
(2.2500014305114746, 22.67819379243326)
(2.1406259536743164, 20.79664611236809)
(2.2343740463256836, 22.380171123283116)
(2.209656000137329, 21.73991390281016)
(2.182039260864258, 22.71061124018094)
(2.2343690395355225, 22.282375110091987)
(2.218750238418579, 22.64455246188708)
(2.218745708465576, 22.22193308244459)
(2.1886775493621826, 22.509541723495943)
(2.2193105220794678, 21.87242345022397)
(2.2343709468841553, 22.580106493097574)
(2.2343757152557373, 22.545155289106564)
(2.2343757152557373, 22.297789358390983)
(2.219902753829956, 22.343605032349267)
(2.234375, 22.450670788795833)
(2.2343735694885254, 22.344485078173204)
(2.218750238418579, 22.48301916577174)
(2.218747615814209, 22.49231030987953)
(2.2187535762786865, 22.038496856700302)
(2.2194571495056152, 23.09116387412178)
(2.2187485694885254, 22.091919372250505)
(2.2187509536743164, 22.448133625742805)
(2.203125, 22.297975214168336)
(2.2343742847442627, 22.395944557186272)
(2.2199184894561768, 22.118249325656247)
(2.2299342155456543, 22.48208172799127)
(2.234375, 22.68581919541555)
(2.2343742847442627, 22.243321943712072)
(2.2187440395355225, 22.478548730704254)
(2.15625, 20.63233745427828)
(2.2187490463256836, 22.184859966837024)
(2.219892978668213, 22.165555799726018)
(2.234375, 22.475866230606798)
(2.21875, 22.324973534332848)
(2.2036712169647217, 22.28182459743204)
(2.2343742847442627, 22.285811797831865)
(2.2343740463256836, 22.400336737552543)
(2.2455570697784424, 22.529403198042075)
(2.171877145767212, 22.158296215602267)
(2.2187516689300537, 22.356497593644246)
(2.218752384185791, 22.778559678331497)
(2.230936050415039, 22.20856988449265)
(2.2228879928588867, 22.288162913163877)
(2.234374761581421, 22.28134744324653)

Promedio de tiempos:
2.2187595748901368 segundos
2218.7595748901367 milisegundos

Desviación estándar:
0.021464151538642003 segundos
21.464151538642003 milisegundos

Promedio valor función objetivo:
22.28610173089116
Desviación estándar valor función objetivo:
0.4169669978993133
