Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.3383893966674805, 30.948158639285076)
(1.257836103439331, 30.927265874244746)
(1.321878433227539, 30.978231006135484)
(1.3824188709259033, 31.016145585673538)
(1.1837866306304932, 31.124686532401874)
(1.3383896350860596, 31.089267177486498)
(1.2318179607391357, 30.933072704560704)
(1.973811149597168, 31.064518984552333)
(1.3118720054626465, 31.03447912079032)
(1.3884227275848389, 31.03579942061699)
(1.7921912670135498, 31.044961931372193)
(1.4789831638336182, 30.978448766866784)
(1.321378231048584, 31.074007093955043)
(1.5920588970184326, 31.107315058639358)
(1.1417591571807861, 30.910471472313194)
(2.3270463943481445, 30.90342441473677)
(1.9437921047210693, 30.921516743794086)
(2.4801485538482666, 31.002252605642642)
(1.4269485473632812, 31.090852999965186)
(1.2898573875427246, 31.030107764008747)
(1.6455941200256348, 31.025361418523662)
(1.2373220920562744, 30.99940610508932)
(1.5640392303466797, 31.061636807156322)
(1.2683427333831787, 30.98304914959426)
(1.905766487121582, 30.974308028663163)
(1.285353660583496, 31.000480941545803)
(2.1729443073272705, 31.012283023401753)
(1.3203775882720947, 30.995057830173696)
(1.3223788738250732, 30.98380100706757)
(1.2278165817260742, 31.053066023401378)
(3.729478359222412, 30.95559072419713)
(4.204794406890869, 31.049190403409053)
(3.025010585784912, 31.004721780262496)
(1.5785489082336426, 31.02164117594525)
(1.384420394897461, 30.921352938692763)
(1.32187819480896, 31.012838653374466)
(1.3043668270111084, 30.9715718984339)
(1.3013651371002197, 31.00605365116254)
(1.5825512409210205, 30.96304616221228)
(1.5565342903137207, 30.96917667170607)
(1.5090019702911377, 31.011599448979062)
(1.1682765483856201, 30.987935014367462)
(1.7661731243133545, 30.888379393877745)
(1.6305837631225586, 30.963807657805337)
(1.4989957809448242, 30.976892756075298)
(2.6722755432128906, 31.022524663242272)
(1.4846184253692627, 30.958655671167392)
(1.2753479480743408, 30.931239359384403)
(1.459470510482788, 31.08266027962917)
(1.3348863124847412, 31.01418112287492)

Promedio de tiempos:
1.6452260112762451 segundos
1645.2260112762451 milisegundos

Desviación estándar:
0.6171591143284963 segundos
617.1591143284963 milisegundos

Promedio valor función objetivo:
31.000329873169154
Desviación estándar valor función objetivo:
0.05423665222660198
