Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.5620372295379639, 22.449610282799007)
(1.4034326076507568, 22.60730775825214)
(2.3445584774017334, 22.191264954297502)
(2.048861503601074, 22.60565023629313)
(1.1802845001220703, 22.556550567833582)
(1.8031988143920898, 22.64264306318408)
(1.597062587738037, 20.318272571780955)
(1.0987300872802734, 22.217912190404355)
(1.3664076328277588, 22.15257730267096)
(1.0687108039855957, 22.384431825372342)
(1.2032992839813232, 22.211408237685664)
(1.22481369972229, 22.290446345837953)
(1.2353215217590332, 22.504593722271974)
(1.3544001579284668, 22.229448384729675)
(1.9928243160247803, 22.23493252815605)
(1.1817858219146729, 22.10007309130564)
(3.1791133880615234, 22.071086264714367)
(1.7731781005859375, 22.271531869640626)
(2.5852181911468506, 22.661212952996177)
(1.8287158012390137, 21.890563231513287)
(1.249831199645996, 21.902126186872653)
(1.2213101387023926, 22.554895974270316)
(3.163602590560913, 22.155659960844616)
(1.3333847522735596, 22.198530311296782)
(1.2533328533172607, 21.781705223539593)
(1.154266595840454, 21.798631247508865)
(1.7911901473999023, 22.58906625426844)
(1.5049996376037598, 22.309554049507398)
(1.14626145362854, 22.141305741907367)
(1.2788498401641846, 22.554587608820633)
(1.3283827304840088, 22.45471265273248)
(3.414268970489502, 22.14054751697751)
(1.2098031044006348, 21.996723620007444)
(1.115241289138794, 22.839880821100525)
(1.5305163860321045, 22.013629985387432)
(1.0637059211730957, 20.44778452882935)
(1.3363873958587646, 21.9779197371786)
(1.1512651443481445, 22.225982105563627)
(1.5745465755462646, 21.885074728668915)
(1.2093031406402588, 22.61547524810143)
(1.686119794845581, 21.88240801370238)
(1.306868076324463, 20.767575651732884)
(1.520010232925415, 22.52242960837091)
(1.4099369049072266, 22.20529095601684)
(3.1726086139678955, 22.389484354897952)
(1.700129747390747, 22.08064953456163)
(1.2618372440338135, 21.92572548110007)
(1.2428255081176758, 22.394286549909594)
(1.0041675567626953, 22.093967934350356)
(1.2543339729309082, 22.406165265998123)

Promedio de tiempos:
1.572424840927124 segundos
1572.424840927124 milisegundos

Desviación estándar:
0.5863564278038872 segundos
586.3564278038872 milisegundos

Promedio valor función objetivo:
22.156865884715284
Desviación estándar valor función objetivo:
0.4880268855439773
