Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.606693983078003, 22.633132483503246)
(2.497950315475464, 22.51348028992929)
(2.425215005874634, 22.433666549695268)
(2.4873034954071045, 21.998436927795957)
(2.456136465072632, 22.177027981370138)
(2.483030080795288, 22.714056055698833)
(2.4283597469329834, 22.582017426103633)
(2.5386552810668945, 22.495833854180848)
(2.4897758960723877, 22.29717787291936)
(2.377817392349243, 22.498972547312427)
(2.549226999282837, 22.503463178908486)
(2.8482463359832764, 22.56458909661522)
(2.441693067550659, 22.244170162263288)
(2.4651360511779785, 22.603214720245955)
(2.457125425338745, 22.384054775633125)
(2.5090670585632324, 22.080947401799186)
(2.474804162979126, 22.44931632014175)
(2.400162935256958, 22.54756175452263)
(2.5101592540740967, 22.529597063950447)
(2.7612111568450928, 22.215557329502104)
(2.6827807426452637, 22.096964729675065)
(2.5130324363708496, 22.148321899407343)
(2.361887216567993, 22.224552958227655)
(2.4604876041412354, 22.40570860694098)
(2.476125478744507, 22.45119518611029)
(2.5284781455993652, 20.420046606337774)
(2.4958629608154297, 22.226704557139417)
(2.4246912002563477, 22.6885096351254)
(2.383540391921997, 22.72213195822632)
(2.471759796142578, 22.661720145858123)
(2.428818941116333, 22.36672593642819)
(2.5030062198638916, 22.080148633212048)
(2.444600820541382, 22.137397589355707)
(2.37534236907959, 22.113213881466294)
(2.3526253700256348, 22.327970706010674)
(2.3989369869232178, 22.029420461610922)
(2.452760934829712, 22.14172021388651)
(2.4810757637023926, 22.821388343404223)
(2.4289286136627197, 22.623334592164994)
(2.408886671066284, 22.281733443702063)
(2.368223190307617, 22.274714811837875)
(2.433800458908081, 22.38292046657883)
(2.405452251434326, 22.262881411688355)
(2.437249183654785, 22.13237659975408)
(2.7020115852355957, 22.798695145622414)
(2.6041414737701416, 22.5722107058446)
(2.4827120304107666, 22.58732795797166)
(2.598400115966797, 22.29328066857073)
(2.5032176971435547, 22.376803347402653)
(2.471992015838623, 22.506040102999854)

Promedio de tiempos:
2.485771975517273 segundos
2485.771975517273 milisegundos

Desviación estándar:
0.09841975180489987 segundos
98.41975180489987 milisegundos

Promedio valor función objetivo:
22.352448701893046
Desviación estándar valor función objetivo:
0.09841975180489987
