Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 90 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.0969295501708984, 22.797392371033837)
(1.5343225002288818, 22.450137010491936)
(1.5914242267608643, 22.487436670524396)
(1.654783010482788, 22.43850853574584)
(1.6943914890289307, 22.592413955533058)
(1.9105877876281738, 21.90975093226302)
(1.9232397079467773, 22.372849589287647)
(1.9428858757019043, 22.432211505486645)
(1.822713851928711, 22.364164544690585)
(1.7473046779632568, 22.63867672156033)
(1.601912498474121, 22.86382632173567)
(1.6620278358459473, 22.38583101080805)
(1.5882174968719482, 22.497661720848377)
(1.711228370666504, 22.283541905316593)
(1.7977709770202637, 22.73297682649656)
(1.5761215686798096, 22.365311487869977)
(1.7083115577697754, 22.39009348094013)
(1.7371540069580078, 22.335395973611558)
(1.6494324207305908, 22.466706447191832)
(1.8935275077819824, 22.708422083678517)
(1.7374989986419678, 22.54054972740314)
(1.5422532558441162, 22.307197696904705)
(1.8190507888793945, 22.729618974355258)
(1.594825267791748, 22.71345581874947)
(1.8358736038208008, 22.041192295588306)
(1.4731407165527344, 22.019993851925243)
(1.5902085304260254, 22.379973519616932)
(1.7682809829711914, 22.404752386606937)
(1.7126121520996094, 22.228803535222923)
(1.4950642585754395, 22.212164164823868)
(1.6856639385223389, 22.64640039784019)
(1.6817386150360107, 22.192647276107216)
(1.8930833339691162, 22.311792096330006)
(1.4540307521820068, 22.497627035642985)
(1.6825776100158691, 22.271744636675244)
(1.8502185344696045, 22.439957514881215)
(1.841425895690918, 21.888478347637584)
(1.620464563369751, 22.222916651863603)
(1.7295489311218262, 22.28188189711761)
(1.6919240951538086, 22.363998006150773)
(2.2147693634033203, 22.40855522603332)
(2.4610462188720703, 22.400129964160953)
(2.513603925704956, 22.590108959541915)
(2.462808847427368, 22.496840123806788)
(2.677858829498291, 22.82800900528236)
(2.533891439437866, 22.77263992803286)
(2.3160579204559326, 22.08101025648952)
(2.1932597160339355, 22.639179998040913)
(2.2496259212493896, 22.641530766352304)
(2.5005195140838623, 22.696304463034352)

Promedio de tiempos:
1.8533442687988282 segundos
1853.3442687988281 milisegundos

Desviación estándar:
0.3136172958618878 segundos
313.6172958618878 milisegundos

Promedio valor función objetivo:
22.435255272346662
Desviación estándar valor función objetivo:
0.22771321435884928
