Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.700900077819824, 22.533090168934372)
(3.4633142948150635, 22.630037917901227)
(3.487515926361084, 22.747184707736142)
(3.4642269611358643, 22.589162810029567)
(3.3712239265441895, 22.416371414930968)
(3.526510715484619, 22.65513207600822)
(3.412996768951416, 22.414341988285898)
(3.617199420928955, 22.427323953142853)
(3.7499358654022217, 20.66263684201947)
(3.657141923904419, 22.67953614770979)
(3.467241048812866, 22.26721158501356)
(3.447639226913452, 22.658662865938357)
(3.4155452251434326, 22.520566268462304)
(3.340271472930908, 22.686515064899485)
(3.376636505126953, 22.105928871861888)
(3.6707119941711426, 22.45311474073013)
(3.5246057510375977, 22.181238844386925)
(3.4103825092315674, 21.941235366488662)
(3.3191540241241455, 22.595779612230043)
(3.494856357574463, 20.738931062198507)
(3.3510477542877197, 22.65690357459947)
(3.7168445587158203, 22.77665068024805)
(3.325009346008301, 22.487228505490798)
(3.2012083530426025, 22.433374345592515)
(3.449799060821533, 22.604723719066083)
(3.637362241744995, 22.607879796728604)
(3.563894748687744, 20.90026275200358)
(3.3607780933380127, 22.37772165458407)
(3.7116634845733643, 22.206790766498674)
(3.474914789199829, 22.39757838295557)
(3.483030319213867, 20.6736503245712)
(3.319092035293579, 22.528264367682816)
(3.4473321437835693, 22.573015646459062)
(3.400852918624878, 22.59368265244977)
(3.3861188888549805, 22.566241146032684)
(3.767127752304077, 22.566465423063864)
(3.3272182941436768, 22.312791817036132)
(3.270871877670288, 22.636914113368807)
(3.39127779006958, 22.451863406690517)
(3.9116413593292236, 22.264065596166503)
(3.7290170192718506, 22.67361555561691)
(3.3978195190429688, 22.33201859251071)
(3.389178514480591, 22.699492459166795)
(3.4798359870910645, 21.93783733808072)
(3.447604179382324, 22.546229408580114)
(3.637002468109131, 22.402767708700864)
(3.3288536071777344, 22.59691183894366)
(3.3435568809509277, 22.43621561314451)
(3.923732042312622, 22.322057679355208)
(3.4484150409698486, 22.915992072347432)

Promedio de tiempos:
3.490802221298218 segundos
3490.802221298218 milisegundos

Desviación estándar:
0.16080314698594453 segundos
160.80314698594452 milisegundos

Promedio valor función objetivo:
22.34766418493288
Desviación estándar valor función objetivo:
0.16080314698594453
