Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.2636938095092773, 22.335752185174012)
(1.2439160346984863, 22.473140145523583)
(1.1828620433807373, 22.46093188552646)
(1.1501076221466064, 22.455564696788684)
(1.3202223777770996, 22.873717350980204)
(1.1917123794555664, 22.23760819859171)
(1.3419032096862793, 22.684830650235167)
(1.3931376934051514, 22.439954536610944)
(1.3281466960906982, 22.41049894154308)
(1.154477596282959, 22.141611114311583)
(1.1275537014007568, 22.153453386357292)
(1.1533586978912354, 22.48605011112081)
(1.4007947444915771, 22.34806158640913)
(1.21998929977417, 22.269811192763097)
(1.17830228805542, 22.30856022690232)
(1.1435902118682861, 22.588949820514983)
(1.1413018703460693, 22.147716335515906)
(1.1322290897369385, 22.44306859576548)
(1.1830451488494873, 22.36717928676744)
(1.152709722518921, 22.714661582597397)
(1.1650784015655518, 22.330165912311465)
(1.1490840911865234, 22.112318561753394)
(1.2072088718414307, 22.631009695889265)
(1.21431303024292, 22.282692274170184)
(1.1525447368621826, 22.068657091586598)
(1.144892692565918, 22.158919453258235)
(1.2035984992980957, 22.567589077408897)
(1.2552077770233154, 22.427721134211573)
(1.3408355712890625, 22.390272165421898)
(1.6152381896972656, 22.472410456149728)
(1.7233493328094482, 22.368784293326033)
(1.3576321601867676, 20.669363322015304)
(1.1716175079345703, 22.60351123593158)
(1.1358466148376465, 22.370562230189897)
(1.3206543922424316, 22.125714662826446)
(1.238753080368042, 21.85690997447952)
(1.1714599132537842, 22.897516477456755)
(1.2564024925231934, 22.39559067478422)
(1.1388165950775146, 22.269683897203937)
(1.173248291015625, 23.051310793731034)
(1.7941129207611084, 22.607082419842058)
(2.0700926780700684, 22.299511815118546)
(1.9238033294677734, 21.929397412070944)
(1.5430176258087158, 22.216908464197147)
(2.423748731613159, 22.61681566596027)
(2.002873420715332, 22.332558282526982)
(2.2582931518554688, 22.734096820384103)
(1.579491138458252, 22.476816265057963)
(1.182438611984253, 22.68712352511872)
(1.2022414207458496, 22.58706434918466)

Promedio de tiempos:
1.3503789901733398 segundos
1350.3789901733398 milisegundos

Desviación estándar:
0.3073045259046478 segundos
307.3045259046478 milisegundos

Promedio valor función objetivo:
22.37758400467133
Desviación estándar valor función objetivo:
0.33875184507100287
