Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.4563257694244385, 22.518376578708423)
(3.426241636276245, 23.108486982834297)
(3.4403815269470215, 22.31969123657959)
(3.4287109375, 22.206280964395997)
(3.5135884284973145, 22.368785401469275)
(3.400092363357544, 22.315561240676622)
(3.529784679412842, 22.421154710038497)
(3.58362078666687, 22.059063597997568)
(3.3986058235168457, 22.947515859039772)
(3.5412187576293945, 22.76970471740531)
(3.616856098175049, 22.413265398571)
(3.601257562637329, 22.155868790672777)
(3.687803030014038, 22.344181534897583)
(3.576171875, 22.274637107656368)
(3.523716449737549, 22.16858927871726)
(3.7831482887268066, 22.631594303953808)
(3.491443395614624, 21.977621317126413)
(3.3501455783843994, 22.677338836158164)
(3.5080862045288086, 22.476992120850333)
(3.617981195449829, 22.186557798251858)
(3.7200517654418945, 22.366574336993885)
(3.4855425357818604, 22.773712365885725)
(3.6452672481536865, 22.428740843741696)
(3.7291293144226074, 22.685217734528013)
(3.6521215438842773, 22.556518672047112)
(3.4505999088287354, 22.61620368489152)
(3.6371665000915527, 20.928255315077035)
(3.6544713973999023, 22.4426602387446)
(3.645050287246704, 22.389639026426984)
(3.4493026733398438, 20.958644570555762)
(3.4344089031219482, 22.280142756900187)
(3.4004950523376465, 22.280892686432736)
(3.812058925628662, 22.34531331521223)
(3.523793935775757, 20.543644111896537)
(3.5514252185821533, 22.42199553511213)
(3.4351589679718018, 22.46283788818259)
(3.52831768989563, 22.45811272305199)
(3.592749834060669, 22.330890443392825)
(3.5915369987487793, 22.320900766522488)
(3.5519039630889893, 22.76078498561081)
(3.440835952758789, 22.514214253341265)
(3.5603091716766357, 22.40847792987032)
(3.446765422821045, 22.824370774734483)
(3.8073651790618896, 22.352398071970907)
(3.5179553031921387, 22.44426297277106)
(3.5023369789123535, 22.66727532685147)
(3.49596905708313, 22.87112320561288)
(3.48081636428833, 22.839456393579898)
(3.707139015197754, 22.372014205368032)
(3.5067176818847656, 22.539996679547702)

Promedio de tiempos:
3.5486388635635375 segundos
3548.6388635635376 milisegundos

Desviación estándar:
0.11060203484915994 segundos
110.60203484915993 milisegundos

Promedio valor función objetivo:
22.370530791817117
Desviación estándar valor función objetivo:
0.45696751290855087
