Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(10.395385265350342, 22.389885824463093)
(12.988123655319214, 22.44742248776289)
(13.796753168106079, 22.350328755639)
(11.37443208694458, 22.296733524420027)
(12.180664539337158, 22.418578202447623)
(11.500419855117798, 22.570451240808943)
(11.080771684646606, 22.501462368509387)
(11.30032992362976, 22.215870330793134)
(11.778524160385132, 22.16820467767601)
(11.465394258499146, 22.483886880063533)
(11.913728713989258, 22.757825790737957)
(8.35871696472168, 22.500893807299693)
(5.626168727874756, 22.347311047399817)
(6.041477203369141, 22.690099162990528)
(5.762153387069702, 22.428001447519108)
(5.850890398025513, 22.410882502304442)
(5.323868274688721, 22.788247697981006)
(5.400144815444946, 22.107987954316076)
(5.422372817993164, 22.467648842064023)
(5.101254940032959, 22.667425937899193)
(5.700699090957642, 22.68976572663337)
(5.354257822036743, 22.531850463799604)
(5.294970512390137, 22.342593007950295)
(4.974420070648193, 20.789762966984785)
(5.467514991760254, 22.82348391594085)
(5.16235613822937, 22.592627174167717)
(5.362445592880249, 22.939790701957715)
(4.994394302368164, 22.694063071279203)
(4.945861101150513, 22.368069365003954)
(5.031188249588013, 22.73786880017053)
(5.3331193923950195, 22.339892929643508)
(5.2572691440582275, 22.51751371907757)
(6.019833564758301, 22.552586196487056)
(5.501412868499756, 22.600775082431127)
(5.643266677856445, 22.57785183102513)
(5.441100358963013, 22.350313212192653)
(5.587412357330322, 22.311066851640128)
(5.373440265655518, 22.470558829870985)
(5.743865966796875, 22.72928059486682)
(5.248385190963745, 22.73429831164323)
(6.163231372833252, 22.556971242625753)
(5.202935695648193, 22.642646624421616)
(5.848119735717773, 22.347399361329046)
(5.240880966186523, 22.238305488857776)
(5.3385608196258545, 22.272411083131704)
(5.024711608886719, 22.490101687467504)
(5.464538335800171, 22.714401966931987)
(5.103220224380493, 22.655403276321525)
(5.490884304046631, 22.566200444923584)
(5.449861764907837, 22.561857492424913)

Promedio de tiempos:
6.888514666557312 segundos
6888.514666557312 milisegundos

Desviación estándar:
2.684707498520839 segundos
2684.7074985208387 milisegundos

Promedio valor función objetivo:
22.474977198085945
Desviación estándar valor función objetivo:
0.30055967883203993
