Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.1370468139648438, 22.387072926545688)
(1.8530082702636719, 22.55415158670205)
(2.1718926429748535, 22.41536056535539)
(2.0570592880249023, 22.798005832072153)
(2.180377721786499, 22.65697996991645)
(2.306621551513672, 22.53547480749194)
(1.952087163925171, 22.61761493775797)
(1.9519379138946533, 22.428253760974016)
(2.142988681793213, 22.57338002140169)
(2.113847255706787, 22.737628640375096)
(2.1897730827331543, 22.382568299045957)
(2.4999353885650635, 22.576951324550762)
(1.9902892112731934, 22.786193599048744)
(2.182621479034424, 22.58158742176295)
(2.0451908111572266, 22.25093262928345)
(2.031583070755005, 22.831958333755793)
(2.033367872238159, 22.25672999030435)
(1.879051685333252, 22.024564400944026)
(1.898263692855835, 22.69353104212453)
(1.9850893020629883, 22.4120606561065)
(1.9612219333648682, 22.498083553138628)
(2.3780741691589355, 22.66581634383809)
(2.297550678253174, 22.239964505067995)
(1.9528944492340088, 22.6362297566296)
(2.1381242275238037, 22.26757002252402)
(2.053845167160034, 22.372696412165347)
(2.1918632984161377, 22.648367367195096)
(1.9881706237792969, 22.68815255848258)
(1.9648995399475098, 22.734906616710084)
(2.0185723304748535, 22.13995678146218)
(2.265740394592285, 22.532252755370198)
(2.054001808166504, 22.230097466578293)
(2.051347017288208, 22.60302776516272)
(2.0816078186035156, 22.647127004450727)
(1.9338898658752441, 22.14671859655919)
(1.883491039276123, 22.13069796035088)
(1.9508476257324219, 22.566988581848307)
(1.8557138442993164, 22.517064948459943)
(1.8822417259216309, 22.61651591111634)
(1.9139981269836426, 22.599856685375318)
(1.8978760242462158, 22.251457219277352)
(1.918161392211914, 22.346147569712837)
(1.896057367324829, 22.179817360573704)
(1.839752197265625, 22.430557678109427)
(1.818620204925537, 22.280127636043492)
(1.8741283416748047, 22.505372748371826)
(1.886164903640747, 22.58187369884492)
(1.9045329093933105, 22.53307364306129)
(1.8870277404785156, 21.96196404079818)
(1.9357986450195312, 22.552905073370432)

Promedio de tiempos:
2.0255649662017823 segundos
2025.5649662017822 milisegundos

Desviación estándar:
0.1507391501868945 segundos
150.73915018689448 milisegundos

Promedio valor función objetivo:
22.47212778012337
Desviación estándar valor función objetivo:
0.1507391501868945
