Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 90 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(7.2261786460876465, 20.92158976934855)
(7.135223865509033, 22.446812884561147)
(7.094130754470825, 22.068288626097278)
(7.245783567428589, 22.36465974583002)
(7.024566411972046, 20.674004880742604)
(7.06722354888916, 22.06280554783893)
(7.095290660858154, 22.335792310380924)
(7.205838203430176, 22.3336354833451)
(7.178554058074951, 22.040331896638104)
(7.022810220718384, 22.277311803477424)
(7.117257356643677, 22.295881393470786)
(7.152052164077759, 22.25681021656818)
(7.068036079406738, 22.06985159535004)
(7.080428838729858, 22.266896826381764)
(7.106144428253174, 22.332659137831712)
(7.102116346359253, 22.7421538271732)
(6.972681045532227, 21.92262501827979)
(7.125701665878296, 22.335660563950025)
(7.13664436340332, 22.516802774074794)
(7.0591206550598145, 22.518350241521578)
(7.109825372695923, 22.639384025379176)
(7.18549108505249, 22.513973046338677)
(7.109017610549927, 22.332303844266292)
(7.035451889038086, 22.417591168290546)
(7.136592626571655, 22.287001995831513)
(7.29991602897644, 22.484613485515347)
(7.051727771759033, 22.212489008241697)
(7.078413248062134, 22.010105647344297)
(7.171875238418579, 22.38830299542145)
(7.14928674697876, 22.443694676834472)
(7.029255390167236, 22.366867738609315)
(7.198585271835327, 22.21180014798538)
(7.060292959213257, 22.678338149368923)
(7.021426439285278, 22.950006635294145)
(7.167314529418945, 22.503657113074397)
(7.215315580368042, 22.1549281302768)
(7.244848966598511, 22.402992960387085)
(7.136153936386108, 22.505652762434284)
(7.265516996383667, 22.782339048814677)
(7.083299160003662, 22.260165268773587)
(7.127061128616333, 20.578473922782365)
(7.142785310745239, 22.398327711137142)
(7.418990612030029, 22.22869116221045)
(7.152879953384399, 22.383733733041264)
(7.013858795166016, 21.86254919022259)
(7.115362167358398, 22.51997715430783)
(7.1278321743011475, 22.148040373495295)
(6.964036464691162, 21.734053486132876)
(7.167985200881958, 21.974278852854386)
(7.1771018505096436, 22.20122787547294)

Promedio de tiempos:
7.12746566772461 segundos
7127.465667724609 milisegundos

Desviación estándar:
0.08407155624618783 segundos
84.07155624618782 milisegundos

Promedio valor función objetivo:
22.22716971706003
Desviación estándar valor función objetivo:
0.4453712510641039
