Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.3790216445922852, 22.425178699799453)
(1.415999174118042, 22.339402731633726)
(1.4319777488708496, 21.05819049735217)
(1.4069983959197998, 22.2828338296362)
(1.401015281677246, 22.47592817116299)
(1.3669886589050293, 22.706523022737024)
(1.3549602031707764, 22.252108028606497)
(1.3779778480529785, 22.383027970213323)
(1.3730213642120361, 22.275459229883886)
(1.3559694290161133, 22.107677748622365)
(1.3770160675048828, 22.61985350338794)
(1.3849821090698242, 22.22151002064504)
(1.4470016956329346, 22.579799666689794)
(1.3720157146453857, 22.674073241744335)
(1.3449997901916504, 22.37130836134057)
(1.3709766864776611, 22.319899635011108)
(1.3720197677612305, 21.978672173031086)
(1.4009778499603271, 22.436578898387005)
(1.3620173931121826, 23.131164025052918)
(1.388974905014038, 22.659668830511336)
(1.3770220279693604, 22.45874262806395)
(1.430985689163208, 22.29320521619928)
(1.3759942054748535, 22.391785863654253)
(1.3560011386871338, 22.292314262228423)
(1.4239952564239502, 22.617147352179863)
(1.379995346069336, 22.22737226157761)
(1.3879978656768799, 22.27241446806804)
(1.395019769668579, 22.642994017157843)
(1.3609983921051025, 22.65677391468862)
(1.4709813594818115, 20.917854358613056)
(1.3819935321807861, 22.312373294641922)
(1.3750159740447998, 22.503689617739017)
(1.367034673690796, 22.33035704580882)
(1.3729982376098633, 22.19553738986814)
(1.365020990371704, 22.226537364047786)
(1.383976936340332, 22.45813252751151)
(1.429001808166504, 22.432136271817082)
(1.4010124206542969, 22.380467544676065)
(1.3829822540283203, 22.70785956268873)
(1.3960201740264893, 22.068989054015766)
(1.3829851150512695, 22.207746026714275)
(1.3840036392211914, 22.282940978960227)
(1.4479858875274658, 22.6718013380203)
(1.4130139350891113, 22.444884039354662)
(1.3709993362426758, 22.390240773064257)
(1.3730015754699707, 22.26216847883998)
(1.3490111827850342, 22.239383895669818)
(1.3779780864715576, 22.15589780499088)
(1.3950202465057373, 22.128193806993046)
(1.3729770183563232, 22.300661988020323)

Promedio de tiempos:
1.3873187160491944 segundos
1387.3187160491943 milisegundos

Desviación estándar:
0.02663950068061605 segundos
26.63950068061605 milisegundos

Promedio valor función objetivo:
22.33538922862644
Desviación estándar valor función objetivo:
0.02663950068061605
