Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.3020741939544678, 22.219549197920408)
(3.145977020263672, 22.485992763048483)
(3.1460206508636475, 22.358554634722843)
(3.2079813480377197, 22.60329294988432)
(3.254997491836548, 22.594607798354577)
(3.2539989948272705, 22.61670285255891)
(3.1720166206359863, 22.75398846775666)
(3.1669976711273193, 22.311831960108282)
(3.146979570388794, 22.24508568006033)
(3.142997980117798, 22.36658155978586)
(3.1660208702087402, 22.497882073838202)
(3.3179750442504883, 22.307071925846618)
(3.1379919052124023, 22.710024824880573)
(3.1089978218078613, 22.192009000402305)
(3.160977363586426, 22.685421738619645)
(3.189016103744507, 22.417634012268277)
(3.152998447418213, 22.755623187671212)
(3.1849937438964844, 22.30891085578278)
(3.1650054454803467, 22.31253670902099)
(3.155975580215454, 22.09995203942149)
(3.136997699737549, 22.667534274766734)
(3.1359496116638184, 22.39285046194888)
(3.1550486087799072, 22.335356183491594)
(3.177999258041382, 22.659046593717424)
(3.223010778427124, 22.44446444930226)
(3.292980909347534, 22.536026763342857)
(3.1350159645080566, 22.47725477307307)
(3.1610164642333984, 22.588416747191175)
(3.117003917694092, 22.129291581120505)
(3.133021116256714, 22.46614630143764)
(3.1509950160980225, 22.21874883950021)
(3.2390012741088867, 22.166402442106442)
(3.1799983978271484, 22.185371747619218)
(3.138993978500366, 22.185896566652094)
(3.2659995555877686, 22.88206585866241)
(3.247980833053589, 22.14637475417204)
(3.1760106086730957, 22.720001248672464)
(3.148995876312256, 22.640946109614124)
(3.1979949474334717, 22.72046274078607)
(3.150998592376709, 22.250371505745857)
(3.1590006351470947, 22.7630355576736)
(3.1709988117218018, 22.30975140759437)
(3.1529996395111084, 22.22769662915866)
(3.170999765396118, 22.31944912246639)
(3.137977361679077, 22.250138394922)
(3.1239984035491943, 22.566617330102222)
(3.130998134613037, 22.311565854993884)
(3.1399986743927, 22.724447479487544)
(3.3029801845550537, 22.109118612577234)
(3.152017593383789, 22.586588451567227)

Promedio de tiempos:
3.17773952960968 segundos
3177.73952960968 milisegundos

Desviación estándar:
0.05166591492011389 segundos
51.66591492011389 milisegundos

Promedio valor función objetivo:
22.436493860308378
Desviación estándar valor función objetivo:
0.05166591492011389
