Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 90 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(4.278019666671753, 20.682664270695632)
(4.064976692199707, 22.444108809342957)
(4.0840160846710205, 22.332778491941205)
(4.0490171909332275, 22.67706961139653)
(4.023998260498047, 22.79658123536937)
(4.068999290466309, 22.521261562283694)
(4.239981174468994, 22.76737393754647)
(4.12999963760376, 22.565130830921518)
(4.066999673843384, 22.649651114575082)
(4.174001693725586, 22.50427007302266)
(4.093000173568726, 22.36865533723857)
(4.172016382217407, 21.13296028779749)
(4.160999774932861, 22.512838214191973)
(4.062998294830322, 22.303163682918555)
(4.352998495101929, 22.513020070329766)
(4.290997743606567, 22.950797145901923)
(4.142994403839111, 22.45405737591301)
(4.111020565032959, 22.45741298744361)
(4.2159953117370605, 22.78729781084354)
(4.150998830795288, 22.447472285636035)
(4.105992794036865, 22.504633348460803)
(4.068014860153198, 22.68322899121227)
(4.03098464012146, 22.385643730387464)
(4.0920000076293945, 22.226854664524797)
(4.152981281280518, 22.357061830949895)
(4.099015712738037, 22.574457928348025)
(4.162000894546509, 22.660085521671302)
(4.269999980926514, 22.60636684819888)
(4.172999620437622, 22.61502583799147)
(4.081989049911499, 22.544316111604346)
(4.1049699783325195, 22.373455000744027)
(4.329998254776001, 20.871672094533704)
(4.113993406295776, 21.943200861924677)
(4.073019981384277, 22.784158821751422)
(4.302981376647949, 22.355892003253068)
(4.123016119003296, 22.52199463738389)
(4.086994171142578, 22.101940229986024)
(4.018003940582275, 22.595428397368515)
(4.160977363586426, 22.56863378569697)
(4.09302020072937, 22.665710285456)
(4.085017442703247, 22.576169379318696)
(4.026998281478882, 22.235160553923787)
(4.248947858810425, 22.348064455634244)
(4.090013027191162, 22.903188445997674)
(4.028003454208374, 22.222361548228466)
(4.0570104122161865, 22.651954184633247)
(4.260996103286743, 22.319923517751096)
(4.173981428146362, 22.84445115846402)
(4.2610204219818115, 22.251319670260244)
(4.060992240905762, 22.171385504040863)

Promedio de tiempos:
4.137399272918701 segundos
4137.399272918701 milisegundos

Desviación estándar:
0.08666215746113011 segundos
86.6621574611301 milisegundos

Promedio valor función objetivo:
22.406646089700192
Desviación estándar valor función objetivo:
0.08666215746113011
