Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.781245231628418, 22.284062361834994)
(1.7343740463256836, 20.533817854190854)
(1.7924044132232666, 22.30681345850905)
(1.7812485694885254, 22.18226790704311)
(1.7812485694885254, 22.338709586440455)
(1.7968757152557373, 22.28109136149482)
(1.7187480926513672, 20.412408584361135)
(1.7656211853027344, 22.323961846196244)
(1.7656283378601074, 22.21253216893718)
(1.7968709468841553, 22.24476834372848)
(1.8024086952209473, 22.22027144265489)
(1.714348554611206, 21.218690340434378)
(1.7656245231628418, 22.364208674240786)
(1.781250238418579, 22.192465106993588)
(1.796875238418579, 22.081923324454774)
(1.781252145767212, 22.25379319719471)
(1.7968699932098389, 22.57934576232382)
(1.7812509536743164, 22.79738474707173)
(1.7499945163726807, 22.171715573562125)
(1.7656211853027344, 22.706772215530847)
(1.782421350479126, 22.618835116985093)
(1.796875, 22.0584936567092)
(1.7878046035766602, 22.470801935057217)
(1.781247854232788, 22.829241543427134)
(1.7187459468841553, 20.590981498917145)
(1.7914142608642578, 22.726622161210056)
(1.7812495231628418, 22.10824696494197)
(1.7968754768371582, 22.435484801670246)
(1.796874761581421, 22.333839750604856)
(1.7812490463256836, 22.34270792486242)
(1.7808160781860352, 22.579679275326715)
(1.7968742847442627, 22.480142821856482)
(1.718747854232788, 20.716909099368127)
(1.7812459468841553, 22.32245348824301)
(1.7343690395355225, 20.52687568358879)
(1.7812492847442627, 22.6151652625227)
(1.8124992847442627, 22.43374376577111)
(1.765625238418579, 22.50485909197835)
(1.78125, 22.518917082144775)
(1.7980458736419678, 22.575384522778077)
(1.7343776226043701, 21.05002918887268)
(1.8124940395355225, 22.670497870672676)
(1.7968759536743164, 22.29557998151568)
(1.7419087886810303, 21.031310326322778)
(1.7187473773956299, 20.844249807002733)
(1.781249761581421, 22.417286854365752)
(1.796875238418579, 22.554576645963152)
(1.796877384185791, 22.377449918670163)
(1.7980377674102783, 22.139460922892713)
(1.7812473773956299, 22.164177660968107)

Promedio de tiempos:
1.775478663444519 segundos
1775.478663444519 milisegundos

Desviación estándar:
0.026342507063344865 segundos
26.342507063344865 milisegundos

Promedio valor función objetivo:
22.10082016964816
Desviación estándar valor función objetivo:
0.6588781577862141
