Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.4710211753845215, 22.410709268544313)
(0.4689779281616211, 21.99275680178066)
(0.47202157974243164, 22.370773516487674)
(0.5179827213287354, 22.247738719565113)
(0.4640171527862549, 22.78497121564508)
(0.4639778137207031, 22.59231898600194)
(0.4669981002807617, 22.61888767158838)
(0.46999645233154297, 21.914066093289396)
(0.4589989185333252, 21.977745345307085)
(0.4630162715911865, 22.258303210865538)
(0.4679994583129883, 22.458935539943237)
(0.4669981002807617, 22.272719632062536)
(0.4640207290649414, 22.481129677270108)
(0.464977502822876, 22.47284944479416)
(0.4570162296295166, 22.71333043595347)
(0.4619781970977783, 22.586684540157375)
(0.4910013675689697, 22.415010857955483)
(0.468994140625, 22.2874466442542)
(0.45999860763549805, 21.706705535740547)
(0.46799802780151367, 22.29834981939864)
(0.4810161590576172, 22.63019820505556)
(0.46599817276000977, 22.83104410252175)
(0.4589991569519043, 22.577499808012277)
(0.45497655868530273, 22.48504706313502)
(0.4699976444244385, 22.678616966890917)
(0.46899843215942383, 22.46217382328051)
(0.4719982147216797, 22.461462824819293)
(0.46999430656433105, 22.34649695050416)
(0.47801756858825684, 22.60614485107434)
(0.46298909187316895, 22.388276256269826)
(0.46899867057800293, 22.191684334074015)
(0.47800230979919434, 22.562641889352157)
(0.4696636199951172, 22.390251517251016)
(0.4699981212615967, 22.39955185328522)
(0.4739980697631836, 22.399100231268623)
(0.4679985046386719, 22.063852774260642)
(0.4780006408691406, 22.410504458362155)
(0.4760007858276367, 22.5456353372551)
(0.4869985580444336, 22.467495041919)
(0.4570159912109375, 22.365665127335244)
(0.45902132987976074, 22.632886343791593)
(0.4609856605529785, 22.251527757210535)
(0.48201417922973633, 22.380888752643454)
(0.46901702880859375, 22.576517056589847)
(0.5269770622253418, 22.603308166581712)
(0.46702051162719727, 22.419942886062888)
(0.4539988040924072, 21.9472854183136)
(0.45497655868530273, 22.688134436975812)
(0.46401000022888184, 21.939506600310935)
(0.49397969245910645, 22.617058156000613)

Promedio de tiempos:
0.47059303760528565 segundos
470.59303760528564 milisegundos

Desviación estándar:
0.01366385868362841 segundos
13.66385868362841 milisegundos

Promedio valor función objetivo:
22.403636638940256
Desviación estándar valor función objetivo:
0.01366385868362841
