Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.2968728542327881, 22.700936633968777)
(0.37500452995300293, 22.836848433024727)
(0.296872615814209, 22.01881238338245)
(0.34502649307250977, 22.188332265929525)
(0.499997615814209, 22.56736509666551)
(0.4687485694885254, 21.879333560167893)
(0.48438382148742676, 22.569197331579737)
(0.46875452995300293, 22.113079239110366)
(0.43749332427978516, 22.487704038556892)
(0.39063167572021484, 22.213176827445878)
(0.3125002384185791, 22.3264536285385)
(0.26561880111694336, 21.825735024440387)
(0.4062530994415283, 21.996737993434)
(0.3593740463256836, 22.35009708966359)
(0.3437514305114746, 22.396747118468195)
(0.4531261920928955, 20.151741538584673)
(0.37500524520874023, 22.18161964832748)
(0.43750500679016113, 20.800658755049497)
(0.3437371253967285, 21.962245363267996)
(0.3750002384185791, 22.438833493405312)
(0.2968907356262207, 22.29304862899102)
(0.3593578338623047, 22.168353877516594)
(0.2968888282775879, 22.11293949166791)
(0.35936570167541504, 22.673664615878984)
(0.25000548362731934, 22.63257265328721)
(0.2968721389770508, 21.886046954858305)
(0.3281235694885254, 22.11117503311928)
(0.34375643730163574, 22.196141444295687)
(0.38768434524536133, 22.205700521098578)
(0.3750028610229492, 22.21359475436215)
(0.34374427795410156, 22.130803618416945)
(0.2968759536743164, 20.671885888351742)
(0.37499237060546875, 22.51244844730584)
(0.4218776226043701, 22.68287709950004)
(0.40625619888305664, 22.060663147364913)
(0.46874475479125977, 22.63521340869118)
(0.24999713897705078, 22.30223052113671)
(0.39063596725463867, 22.512847844839666)
(0.437488317489624, 22.721374017193575)
(0.4218778610229492, 22.462332728940034)
(0.3593757152557373, 22.3492367445423)
(0.37499499320983887, 22.285320744298254)
(0.3125007152557373, 21.99393896474204)
(0.3437490463256836, 22.08000392968711)
(0.3593790531158447, 22.054247468289855)
(0.3593735694885254, 22.274788128311997)
(0.2812511920928955, 22.166068231973348)
(0.3281254768371582, 22.476651438827314)
(0.4218747615814209, 22.71305362286918)
(0.2968757152557373, 22.130929323618897)

Promedio de tiempos:
0.36559192180633543 segundos
365.59192180633545 milisegundos

Desviación estándar:
0.06176160344872422 segundos
61.76160344872422 milisegundos

Promedio valor función objetivo:
22.19431617513976
Desviación estándar valor función objetivo:
0.06176160344872422
