Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.6262617111206055, 20.233315646347513)
(0.8437492847442627, 22.647523041599868)
(0.8281311988830566, 22.12618520586393)
(0.8437461853027344, 22.868385003153573)
(0.6718766689300537, 22.075281296137113)
(0.7343790531158447, 22.202838107246627)
(0.6562404632568359, 22.306120527472682)
(0.9218790531158447, 22.450278401630474)
(0.7968716621398926, 22.37981310733903)
(0.9218769073486328, 22.363319897128022)
(0.781257152557373, 22.331980443430606)
(1.0312445163726807, 22.63073278804827)
(1.2824959754943848, 22.197297124948193)
(0.781256914138794, 20.81559484662509)
(1.5156233310699463, 22.219031761181327)
(0.9375052452087402, 22.09012023326699)
(0.7343704700469971, 22.60751879865321)
(0.750002384185791, 22.47323573934351)
(0.8906199932098389, 22.033572992439275)
(0.8281192779541016, 22.15767057312232)
(0.9218754768371582, 22.322132993903868)
(0.8269169330596924, 22.499082675783317)
(0.8437542915344238, 22.505851688093458)
(0.5647635459899902, 22.35461760989891)
(0.8906190395355225, 21.911247362635702)
(0.7187507152557373, 22.216925780935238)
(0.8281304836273193, 22.26898952239262)
(0.8281197547912598, 22.7480945476622)
(0.8577191829681396, 22.375128682265856)
(0.9241476058959961, 22.12837208984399)
(0.7812440395355225, 21.89593677094495)
(0.8437483310699463, 22.486220011562203)
(0.8125, 22.68059967859894)
(0.781257152557373, 22.535473979454913)
(0.8906197547912598, 22.07995798335)
(0.7812495231628418, 22.22994525253255)
(1.0312530994415283, 22.55521091021629)
(0.8437485694885254, 22.623967671013467)
(0.6871695518493652, 22.006207796322197)
(0.8128147125244141, 22.557680562391702)
(1.0156197547912598, 22.30267848622364)
(0.7512502670288086, 21.9861596692813)
(0.7500007152557373, 22.431269502684955)
(0.9062514305114746, 20.67695038839737)
(1.0468785762786865, 21.90530320187057)
(0.7812492847442627, 22.479453178879083)
(0.7656295299530029, 21.992140293641576)
(0.890618085861206, 22.535999858133316)
(0.6562530994415283, 22.41436123748263)
(0.8125, 22.116865190383553)

Promedio de tiempos:
0.8444831991195678 segundos
844.4831991195679 milisegundos

Desviación estándar:
0.15378873666597004 segundos
153.78873666597005 milisegundos

Promedio valor función objetivo:
22.220652802235158
Desviación estándar valor función objetivo:
0.15378873666597004
