Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 90 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.9283452033996582, 22.31885310161744)
(1.744490385055542, 22.388880817800334)
(1.736759901046753, 22.10854075922134)
(1.7985119819641113, 22.160566211628602)
(1.8576312065124512, 22.252102941454606)
(1.8482472896575928, 20.8162175626504)
(1.7046613693237305, 22.28837064354095)
(1.8084981441497803, 22.323077147514468)
(1.7862961292266846, 22.603670569243793)
(1.8614509105682373, 22.36259901561146)
(2.033414602279663, 22.254258007683767)
(1.6964962482452393, 22.559080997057443)
(1.7223758697509766, 22.753247970576002)
(1.7369070053100586, 22.52878207666081)
(1.7512388229370117, 22.317906542528384)
(1.7944409847259521, 22.41097285345537)
(1.6953458786010742, 22.19308194632576)
(1.6803014278411865, 22.01493797091197)
(1.754183053970337, 22.025040005554086)
(1.7380964756011963, 20.877470419684656)
(1.7254638671875, 20.401934766844754)
(1.7589733600616455, 22.71250507856348)
(1.7580962181091309, 21.98773856113345)
(1.8276591300964355, 20.747791267069985)
(1.9217109680175781, 20.839803033607)
(1.8020079135894775, 22.141001824325933)
(1.8432796001434326, 22.455083969018688)
(1.7819600105285645, 20.757238715045524)
(1.9843065738677979, 20.833277487654506)
(1.8077380657196045, 22.12426585105958)
(1.716785192489624, 22.103282532158026)
(1.7301950454711914, 22.272028228824123)
(1.795945405960083, 22.396141420656903)
(1.7690174579620361, 22.484019063280144)
(1.849665880203247, 22.47975698648201)
(1.7885401248931885, 22.068165200619248)
(1.7144367694854736, 22.02495445381254)
(1.7218058109283447, 22.355076450608134)
(1.7388322353363037, 22.734995878014363)
(1.6885857582092285, 22.827228087168127)
(1.7409400939941406, 22.329444656973365)
(1.7285969257354736, 22.32858241750618)
(1.76265287399292, 22.665898228606064)
(1.7740092277526855, 21.90622602428319)
(1.7751338481903076, 22.361514046165574)
(1.7252962589263916, 22.386933110919927)
(1.6699659824371338, 22.165371439722914)
(1.7907347679138184, 22.43992315210746)
(1.7397313117980957, 22.344973025110736)
(1.7287611961364746, 22.38071416798786)

Promedio de tiempos:
1.7767704153060913 segundos
1776.7704153060913 milisegundos

Desviación estándar:
0.07382350187034042 segundos
73.82350187034042 milisegundos

Promedio valor función objetivo:
22.11227053372103
Desviación estándar valor función objetivo:
0.07382350187034042
