Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.7745063304901123, 22.455682726279584)
(1.724729299545288, 22.045928222076878)
(1.7404155731201172, 20.72995053834994)
(1.7293500900268555, 21.039038642405735)
(1.7111949920654297, 22.250086890207168)
(1.6389617919921875, 22.395535301682095)
(1.7824251651763916, 22.046016950785063)
(1.7763774394989014, 22.803357939850606)
(1.6798954010009766, 22.291035314660224)
(1.806215524673462, 22.452481784838685)
(1.7617928981781006, 22.062728593643595)
(1.651395559310913, 22.488829397401513)
(1.6178874969482422, 22.195026221034666)
(1.7209970951080322, 22.696641094330726)
(1.6220283508300781, 22.439481084083436)
(1.9803431034088135, 22.38517977644633)
(1.6335020065307617, 21.90142307150297)
(1.8492724895477295, 22.620192213116763)
(2.0281360149383545, 22.520861826711595)
(1.7603166103363037, 22.321922355689324)
(1.6556808948516846, 22.08878551568795)
(1.6585640907287598, 22.497554245626578)
(1.7631511688232422, 21.967950930302372)
(1.7593703269958496, 21.79740967257031)
(1.9051907062530518, 22.046064749441232)
(1.727687120437622, 22.41231174410867)
(1.6649281978607178, 22.675382158293854)
(1.6414990425109863, 22.35909079824354)
(1.853290319442749, 22.448719502687556)
(1.7416608333587646, 22.06628683873403)
(1.7270562648773193, 22.167904965905596)
(1.6157441139221191, 22.17220382567349)
(1.6738524436950684, 21.87518132387894)
(1.6536121368408203, 20.767228634593117)
(1.6915295124053955, 22.595435041783297)
(1.736494541168213, 22.390328412530135)
(1.6906428337097168, 21.96993148854841)
(1.6792116165161133, 22.33656259599511)
(1.6442651748657227, 22.1602686542493)
(2.2223246097564697, 22.329802519330567)
(1.8121755123138428, 22.12406677612344)
(1.6311395168304443, 22.571261166633942)
(1.6255311965942383, 22.249312431098037)
(1.7132954597473145, 22.23093462758103)
(1.8094351291656494, 22.2778438682083)
(1.7816367149353027, 22.437975629936755)
(1.6788256168365479, 22.229510979537345)
(1.5890848636627197, 22.025119384139295)
(1.592752456665039, 21.514899104046165)
(1.7666926383972168, 22.13320557618913)

Promedio de tiempos:
1.733921365737915 segundos
1733.921365737915 milisegundos

Desviación estándar:
0.11473431212944135 segundos
114.73431212944135 milisegundos

Promedio valor función objetivo:
22.18119866213549
Desviación estándar valor función objetivo:
0.4190299600369208
