Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.8750054836273193, 22.56041636491819)
(0.9531195163726807, 22.093721547779285)
(1.2500038146972656, 22.4296218682174)
(0.7968709468841553, 22.552786594146326)
(1.0481154918670654, 22.136869636606658)
(0.890625, 22.443562500480247)
(0.7968719005584717, 22.16321709113576)
(0.8749961853027344, 22.533962824083556)
(1.0937535762786865, 22.520802975526312)
(1.5312483310699463, 22.32077865357528)
(1.0156216621398926, 22.261037480012718)
(0.8281259536743164, 22.384961543895983)
(1.1562581062316895, 22.736694237481093)
(1.032538652420044, 22.21520495611656)
(1.0781280994415283, 22.42755035114623)
(1.1406188011169434, 22.22134111775098)
(1.2187550067901611, 22.68778254950327)
(1.3281209468841553, 22.375686941173775)
(1.234384536743164, 22.69505513301953)
(1.3593621253967285, 20.75963798670872)
(0.9062559604644775, 22.558966755792255)
(1.0312471389770508, 21.969830522012362)
(1.4856171607971191, 22.502723383225966)
(0.9850506782531738, 20.768564358991505)
(1.1249868869781494, 22.365688643422057)
(1.0781230926513672, 22.253619803049975)
(0.9218740463256836, 22.073385194385217)
(1.1718800067901611, 22.839491129910986)
(1.3437519073486328, 22.56367852336381)
(1.187504529953003, 22.281917712458053)
(1.0781199932098389, 20.591041190616508)
(1.0468754768371582, 22.40387196410369)
(1.5624969005584717, 22.36713806857607)
(1.0000026226043701, 22.55528136687881)
(0.7343719005584717, 22.000134449122964)
(0.9700155258178711, 22.83425831387979)
(1.0937461853027344, 22.648646356316405)
(1.1406269073486328, 21.88638524304677)
(1.0781335830688477, 22.645336726579867)
(0.9218616485595703, 21.928927535905682)
(1.187499761581421, 22.144474594745752)
(0.9062528610229492, 22.03051107972313)
(1.2343759536743164, 20.795556404638244)
(1.1406211853027344, 22.11459992925648)
(1.1575121879577637, 22.4104224451979)
(2.687500476837158, 22.40519053514258)
(1.4843852519989014, 21.860427487793604)
(1.0624916553497314, 22.274772520587742)
(1.4062488079071045, 22.66792837033838)
(1.1406280994415283, 22.46132559097653)

Promedio de tiempos:
1.135451650619507 segundos
1135.4516506195068 milisegundos

Desviación estándar:
0.2930886520827549 segundos
293.08865208275495 milisegundos

Promedio valor función objetivo:
22.23449577106634
Desviación estándar valor función objetivo:
0.2930886520827549
