Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(5.982189178466797, 22.36333087218559)
(5.860895395278931, 22.33643421818119)
(5.849379777908325, 22.23194530443608)
(5.906925678253174, 22.742178289209775)
(5.8980553150177, 22.748420825286914)
(5.938042640686035, 22.296066496205587)
(5.8924171924591064, 22.542233774069214)
(5.934180974960327, 22.538496346146072)
(5.944450378417969, 22.92256781143518)
(5.866398572921753, 22.379086343412638)
(5.9140424728393555, 22.614243999233356)
(5.900918483734131, 22.628363717839154)
(5.955608367919922, 21.995702758384834)
(5.9041454792022705, 22.19056642952743)
(5.897482872009277, 22.333485461605882)
(5.905691385269165, 22.540797086535797)
(5.896417140960693, 22.70565153672267)
(5.654392242431641, 21.08915872073756)
(5.661261558532715, 20.64205862918151)
(5.945219993591309, 22.610734053274122)
(5.938556671142578, 22.724097781260284)
(5.655385732650757, 20.25851603526857)
(5.927781105041504, 22.597183478908075)
(5.931589603424072, 22.538787963117098)
(5.941495895385742, 22.409159222227032)
(5.949243068695068, 22.308283404068586)
(5.899921178817749, 22.475719241257455)
(5.956149578094482, 22.620730383474392)
(5.9440696239471436, 22.122698278854525)
(5.8951332569122314, 22.306750282433747)
(5.885409593582153, 22.188012868294322)
(5.883410930633545, 22.04222964651326)
(5.918675184249878, 22.638902108653422)
(5.884411096572876, 22.236314897955754)
(5.841045618057251, 22.5022352235197)
(5.836378812789917, 22.455726317706898)
(5.902924060821533, 22.498204657999487)
(5.942552804946899, 22.387672865617645)
(5.867397785186768, 22.440330662777523)
(5.936830759048462, 22.174704145116266)
(5.602842330932617, 21.029267749794393)
(5.901914834976196, 22.81683270505435)
(5.952531337738037, 22.500543803088206)
(5.874741792678833, 22.830776784888485)
(5.903425455093384, 22.63039355364743)
(5.936943769454956, 22.321980000068905)
(5.912928581237793, 22.348349241531736)
(5.626264810562134, 20.675628271363838)
(5.826436519622803, 22.1951232830916)
(5.899020671844482, 22.014247239611645)

Promedio de tiempos:
5.881670551300049 segundos
5881.670551300049 milisegundos

Desviación estándar:
0.08733748490912713 segundos
87.33748490912713 milisegundos

Promedio valor función objetivo:
22.274818495415502
Desviación estándar valor función objetivo:
0.5620153147500875
