Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 90 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(14.843420505523682, 22.948594367438687)
(14.765541553497314, 22.58909033319341)
(14.769771099090576, 22.422774335947775)
(14.676376104354858, 22.38049425263223)
(14.832485675811768, 22.32230569302892)
(14.726514339447021, 22.50380221636939)
(14.757944583892822, 22.74657830034117)
(14.759610176086426, 22.607992932105436)
(14.75607419013977, 22.28709434221239)
(14.733387231826782, 22.35663686868364)
(14.777577638626099, 22.1986102302526)
(14.7044677734375, 23.00219640149533)
(14.705004215240479, 22.428985670935354)
(14.71637487411499, 22.464235010244792)
(14.772104501724243, 22.664487764560427)
(14.778639554977417, 22.196019449254106)
(14.740972995758057, 22.058867858236145)
(14.10839295387268, 20.531773863637166)
(14.759767293930054, 22.705450586761085)
(14.738705396652222, 22.46146833320797)
(14.698515892028809, 22.267776332407742)
(14.741753578186035, 22.241497085505962)
(14.643051147460938, 21.87032727920246)
(14.698017358779907, 22.327585744110664)
(14.080633640289307, 20.998007584771102)
(14.703884840011597, 22.714991795033708)
(14.692507266998291, 22.880168824424754)
(14.661388635635376, 22.364808634408202)
(14.810119152069092, 22.301795243983523)
(14.733551979064941, 22.368042364200996)
(14.813590288162231, 22.70300188524656)
(14.542662143707275, 22.095856797210608)
(14.733200311660767, 22.07018915866028)
(14.665006875991821, 22.002611744904407)
(14.765426635742188, 22.70140137528664)
(14.68408989906311, 22.50259775929767)
(14.81644058227539, 22.5562818343685)
(14.829540491104126, 22.246112006318068)
(14.110634088516235, 21.078730299448832)
(14.786609172821045, 22.52590379205273)
(14.678481101989746, 22.647239978542043)
(14.778014898300171, 22.253358592710455)
(14.707157135009766, 22.84674929084177)
(14.73479175567627, 22.5662065586464)
(14.679077386856079, 22.407722285568987)
(14.669747114181519, 22.59002505000817)
(14.693565845489502, 22.69059645794133)
(14.75845193862915, 22.743551471068333)
(14.677850008010864, 22.29871649492458)
(14.72952151298523, 22.273006743349182)

Promedio de tiempos:
14.69480830669403 segundos
14694.80830669403 milisegundos

Desviación estándar:
0.15999676141633182 segundos
159.99676141633182 milisegundos

Promedio valor función objetivo:
22.360246385499654
Desviación estándar valor función objetivo:
0.45275780990245307
